#
# Linsky & Wood 1996 Alpha Centauri A
# Hubble Space Telescope HRS UV spectra
# Extracted from the HST Archive (MAST), dataset z2mp010dt
#
# lam - wavelength in Angstroms, range: ~1212.3 to 1218.8A
# flam - flux in relative F-lambda (erg/s/cm^2/A)
#
lam               flam
1.21338086E+03    -1.41540961E-03
1.21338416E+03     9.07856878E-03
1.21338733E+03     1.33406483E-02
1.21339062E+03    -5.64231956E-03
1.21339392E+03     1.11837517E-02
1.21339722E+03     7.06964126E-03
1.21340039E+03    -1.39980146E-03
1.21340369E+03     2.37922911E-02
1.21340698E+03    -7.73258181E-03
1.21341028E+03     2.79960618E-03
1.21341345E+03    -7.71562709E-03
1.21341675E+03     4.84586600E-03
1.21342004E+03    -3.51305772E-03
1.21342334E+03     2.79607414E-03
1.21342664E+03    -1.42114388E-03
1.21342981E+03     4.87621641E-03
1.21343311E+03     4.85891430E-03
1.21343640E+03    -1.19439103E-02
1.21343970E+03     9.06283595E-03
1.21344287E+03    -1.46947487E-03
1.21344617E+03    -3.51689872E-03
1.21344946E+03     9.06280801E-03
1.21345276E+03    -9.83760227E-03
1.21345593E+03    -7.71028735E-03
1.21345923E+03     6.98121591E-03
1.21346252E+03    -5.63619751E-03
1.21346582E+03     6.93425210E-03
1.21346899E+03    -1.42947980E-03
1.21347229E+03    -5.60304197E-03
1.21347559E+03     9.08331014E-03
1.21347888E+03    -3.54726776E-03
1.21348206E+03    -1.40112406E-02
1.21348535E+03    -1.39589340E-03
1.21348865E+03    -5.62522979E-03
1.21349194E+03     1.11108748E-02
1.21349512E+03    -7.71479821E-03
1.21349841E+03     1.53520415E-02
1.21350171E+03     2.73528229E-03
1.21350500E+03     6.84604398E-04
1.21350818E+03    -7.72492215E-03
1.21351147E+03    -1.46857952E-03
1.21351477E+03     1.11430874E-02
1.21351807E+03    -5.61928889E-03
1.21352124E+03    -3.52875981E-03
1.21352454E+03    -3.52703850E-03
1.21352783E+03     7.08185311E-04
1.21353113E+03     9.03475564E-03
1.21353430E+03     9.04665887E-03
1.21353760E+03     6.37917430E-04
1.21354089E+03    -1.42632448E-03
1.21354407E+03    -3.52464500E-03
1.21354736E+03     6.95351220E-04
1.21355066E+03     6.77423202E-04
1.21355396E+03     1.32670039E-02
1.21355713E+03     2.78811133E-03
1.21356042E+03     6.76530064E-04
1.21356372E+03    -5.59976604E-03
1.21356702E+03     2.74289702E-03
1.21357019E+03    -9.76681709E-03
1.21357349E+03     4.82698437E-03
1.21357678E+03     6.79794408E-04
1.21358008E+03    -1.60414409E-02
1.21358325E+03    -1.39762915E-03
1.21358655E+03    -1.41403754E-03
1.21358984E+03    -3.49433767E-03
1.21359314E+03     9.11243260E-03
1.21359631E+03     2.77087139E-03
1.21359961E+03     9.04257316E-03
1.21360291E+03    -7.66755687E-03
1.21360608E+03     1.11448104E-02
1.21360938E+03     4.85102553E-03
1.21361267E+03    -5.57695515E-03
1.21361597E+03     7.07190717E-04
1.21361914E+03     6.94011897E-03
1.21362244E+03    -3.46344104E-03
1.21362573E+03     4.86184005E-03
1.21362903E+03    -5.58798388E-03
1.21363220E+03     2.81970249E-03
1.21363550E+03    -5.58420364E-03
1.21363879E+03     6.96232216E-03
1.21364197E+03    -1.37728301E-03
1.21364526E+03     1.11662121E-02
1.21364856E+03     6.84380881E-04
1.21365186E+03    -3.46110016E-03
1.21365503E+03     4.89951298E-03
1.21365833E+03     1.11250049E-02
1.21366162E+03     2.79817870E-03
1.21366492E+03    -5.55223273E-03
1.21366809E+03    -1.18083162E-02
1.21367139E+03    -7.63754500E-03
1.21367468E+03    -3.42790270E-03
1.21367786E+03    -3.46908066E-03
1.21368115E+03    -1.17988540E-02
1.21368445E+03     7.01785507E-03
1.21368774E+03     4.87664295E-03
1.21369092E+03     1.11548128E-02
1.21369421E+03     6.97206799E-03
1.21369751E+03     7.25282414E-04
1.21370068E+03     1.74671486E-02
1.21370398E+03     2.15884224E-02
1.21370728E+03     2.82367854E-03
1.21371057E+03     9.07696690E-03
1.21371375E+03     4.90707485E-03
1.21371704E+03     1.73593126E-02
1.21372034E+03    -7.59714004E-03
1.21372351E+03    -1.35447178E-03
1.21372681E+03    -1.36401562E-03
1.21373010E+03     9.06160567E-03
1.21373340E+03     1.11168306E-02
1.21373657E+03     9.08845942E-03
1.21373987E+03     1.32699581E-02
1.21374316E+03     5.04321419E-03
1.21374634E+03     1.11868577E-02
1.21374963E+03     2.95484602E-03
1.21375293E+03    -5.48662758E-03
1.21375623E+03     7.64583529E-04
1.21375940E+03     1.12111764E-02
1.21376270E+03    -9.64957848E-03
1.21376599E+03     7.51108106E-04
1.21376917E+03     9.08773020E-03
1.21377246E+03    -9.65634547E-03
1.21377576E+03    -1.35931175E-03
1.21377905E+03     7.60270515E-04
1.21378223E+03    -3.40501335E-03
1.21378552E+03     7.96523993E-04
1.21378882E+03     1.12243928E-02
1.21379199E+03     2.91425339E-03
1.21379529E+03     1.10970354E-02
1.21379858E+03     2.79411115E-03
1.21380188E+03     4.96228551E-03
1.21380505E+03     2.86024809E-03
1.21380835E+03     9.15636308E-03
1.21381165E+03     4.97449469E-03
1.21381482E+03     2.91794725E-03
1.21381812E+03     7.05933291E-03
1.21382141E+03    -5.46882767E-03
1.21382458E+03     1.33136790E-02
1.21382788E+03     4.94688842E-03
1.21383118E+03     4.98200441E-03
1.21383447E+03     4.88952454E-03
1.21383765E+03    -9.66115389E-03
1.21384094E+03     1.54480841E-02
1.21384424E+03    -1.16457213E-02
1.21384741E+03    -3.39467544E-03
1.21385071E+03     5.01658954E-03
1.21385400E+03    -1.32461521E-03
1.21385718E+03     9.02975816E-03
1.21386047E+03    -1.16824554E-02
1.21386377E+03     1.73654780E-02
1.21386694E+03    -9.63205006E-03
1.21387024E+03    -3.38284927E-03
1.21387354E+03     9.08005890E-03
1.21387683E+03     2.82141310E-03
1.21388000E+03    -5.46329701E-03
1.21388330E+03    -3.42079811E-03
1.21388660E+03    -3.38769704E-03
1.21388977E+03     1.32732121E-02
1.21389307E+03    -7.55204726E-03
1.21389636E+03    -9.61553771E-03
1.21389954E+03    -7.57121062E-03
1.21390283E+03     7.45800033E-04
1.21390613E+03     2.85625341E-03
1.21390930E+03     1.73565578E-02
1.21391260E+03     2.76055024E-03
1.21391589E+03    -1.37011055E-03
1.21391919E+03    -1.27732928E-03
1.21392236E+03    -7.51526374E-03
1.21392566E+03     7.04996847E-03
1.21392896E+03     9.11640376E-03
1.21393213E+03     6.98298821E-03
1.21393542E+03    -3.35946726E-03
1.21393872E+03    -3.43178865E-03
1.21394189E+03    -3.33562656E-03
1.21394519E+03    -1.37836765E-03
1.21394849E+03     9.04730521E-03
1.21395166E+03     7.40485790E-04
1.21395496E+03     2.76666228E-03
1.21395825E+03     6.92338357E-03
1.21396143E+03     6.95269834E-03
1.21396472E+03    -1.38282334E-03
1.21396802E+03     2.73624132E-03
1.21397119E+03     2.13362742E-02
1.21397449E+03     4.82852850E-03
1.21397778E+03     1.51324822E-02
1.21398108E+03     6.89291721E-03
1.21398425E+03    -5.48417633E-03
1.21398755E+03    -3.38783651E-03
1.21399084E+03     4.82932059E-03
1.21399402E+03     7.22851139E-04
1.21399731E+03    -7.55674532E-03
1.21400061E+03     2.13630181E-02
1.21400378E+03     1.30410269E-02
1.21400708E+03     6.86412957E-03
1.21401038E+03    -3.39441351E-03
1.21401355E+03     4.81295493E-03
1.21401685E+03     2.74688937E-03
1.21402014E+03     4.84241825E-03
1.21402332E+03     1.09751020E-02
1.21402661E+03    -7.53964111E-03
1.21402991E+03     6.93029549E-04
1.21403308E+03    -1.36196357E-03
1.21403638E+03    -1.36974512E-03
1.21403967E+03     6.91128836E-04
1.21404285E+03    -1.36686361E-03
1.21404614E+03    -5.47493994E-03
1.21404944E+03    -5.46532311E-03
1.21405261E+03     6.80910016E-04
1.21405591E+03    -1.36774522E-03
1.21405920E+03    -1.36562518E-03
1.21406238E+03     4.79722535E-03
1.21406567E+03     2.32939813E-02
1.21406897E+03    -1.39384961E-03
1.21407214E+03     1.50487954E-02
1.21407544E+03     1.91798229E-02
1.21407874E+03     6.99307362E-04
1.21408191E+03    -7.51548819E-03
1.21408521E+03     6.88511995E-04
1.21408850E+03     2.32851319E-02
1.21409167E+03    -1.34975940E-03
1.21409497E+03     2.12123077E-02
1.21409827E+03     2.73749209E-03
1.21410144E+03     1.70819387E-02
1.21410474E+03     8.90511088E-03
1.21410803E+03     6.85020210E-03
1.21411121E+03     6.84935413E-03
1.21411450E+03    -5.47531573E-03
1.21411780E+03     8.90739076E-03
1.21412097E+03     1.29918950E-02
1.21412427E+03    -3.40484641E-03
1.21412756E+03     2.11869907E-02
1.21413074E+03    -5.46978461E-03
1.21413403E+03     6.83785882E-03
1.21413733E+03     1.70474742E-02
1.21414050E+03     1.09464275E-02
1.21414380E+03     2.77201994E-03
1.21414697E+03     1.09158605E-02
1.21415027E+03     4.79569053E-03
1.21415356E+03    -3.39976582E-03
1.21415674E+03    -7.49634439E-03
1.21416003E+03     1.29652023E-02
1.21416333E+03     8.86700209E-03
1.21416650E+03    -3.38366046E-03
1.21416980E+03     4.79282858E-03
1.21417310E+03    -3.42559139E-03
1.21417627E+03     1.08987205E-02
1.21417957E+03    -3.40047502E-03
1.21418286E+03     1.90862417E-02
1.21418604E+03     1.08870156E-02
1.21418933E+03     1.08717550E-02
1.21419263E+03     4.75587184E-03
1.21419580E+03     1.70333572E-02
1.21419910E+03    -1.15909325E-02
1.21420239E+03    -1.36227161E-03
1.21420557E+03     6.79951441E-03
1.21420886E+03     2.72257905E-03
1.21421204E+03     1.08845243E-02
1.21421533E+03     8.83715041E-03
1.21421863E+03     1.90270673E-02
1.21422180E+03     6.92502654E-04
1.21422510E+03     6.66754495E-04
1.21422839E+03     6.71788177E-04
1.21423157E+03     1.69961471E-02
1.21423486E+03     8.86287354E-03
1.21423816E+03     2.10601967E-02
1.21424133E+03     2.31000185E-02
1.21424463E+03     2.70385249E-03
1.21424792E+03     2.68519693E-03
1.21425110E+03     6.61895785E-04
1.21425439E+03     6.66409673E-04
1.21425757E+03     1.69675760E-02
1.21426086E+03     2.71463185E-03
1.21426416E+03     1.49358260E-02
1.21426733E+03     1.08617786E-02
1.21427063E+03     1.08576762E-02
1.21427393E+03    -1.36653474E-03
1.21427710E+03     6.78087771E-03
1.21428040E+03     7.22145021E-04
1.21428369E+03     1.29335076E-02
1.21428687E+03     1.08691612E-02
1.21429016E+03     1.28972176E-02
1.21429333E+03     1.90137289E-02
1.21429663E+03     8.85939132E-03
1.21429993E+03     1.29342331E-02
1.21430310E+03     8.80385097E-03
1.21430640E+03     2.10067201E-02
1.21430969E+03     2.09969599E-02
1.21431287E+03     4.74549085E-03
1.21431616E+03     4.72925976E-03
1.21431946E+03     6.77165529E-03
1.21432263E+03     1.90129206E-02
1.21432593E+03     1.89650878E-02
1.21432910E+03     1.69120170E-02
1.21433240E+03    -1.37449510E-03
1.21433569E+03     1.28683830E-02
1.21433887E+03     1.49124386E-02
1.21434216E+03     1.08303530E-02
1.21434546E+03     4.76438086E-03
1.21434863E+03     1.28283510E-02
1.21435193E+03     2.70945113E-03
1.21435510E+03     4.73570917E-03
1.21435840E+03     4.73904749E-03
1.21436169E+03     2.50193477E-02
1.21436487E+03     1.69278607E-02
1.21436816E+03     2.09572371E-02
1.21437146E+03     6.56815362E-04
1.21437463E+03     4.72447136E-03
1.21437793E+03     6.88171829E-04
1.21438110E+03     4.73206956E-03
1.21438440E+03     8.79698806E-03
1.21438770E+03     2.70008668E-03
1.21439087E+03     2.29895711E-02
1.21439417E+03     1.48603385E-02
1.21439746E+03     6.77706813E-03
1.21440063E+03     3.31460834E-02
1.21440393E+03     6.78600604E-03
1.21440710E+03    -3.37195513E-03
1.21441040E+03     1.08165536E-02
1.21441370E+03     2.30078734E-02
1.21441687E+03     8.80859792E-03
1.21442017E+03     1.28232455E-02
1.21442334E+03     1.48549629E-02
1.21442664E+03     2.90583037E-02
1.21442993E+03     1.68696567E-02
1.21443311E+03     1.07848393E-02
1.21443640E+03     1.28117744E-02
1.21443970E+03     8.77587683E-03
1.21444287E+03     1.07992282E-02
1.21444617E+03     2.68790848E-03
1.21444934E+03     2.70118844E-02
1.21445264E+03     6.75258692E-04
1.21445593E+03     4.71438095E-03
1.21445911E+03     6.67750777E-04
1.21446240E+03     1.88663211E-02
1.21446558E+03     3.50612029E-02
1.21446887E+03     3.10303643E-02
1.21447217E+03     2.09015924E-02
1.21447534E+03     1.68529637E-02
1.21447864E+03     6.74120756E-03
1.21448181E+03    -7.42022507E-03
1.21448511E+03     2.49243136E-02
1.21448840E+03     8.75152275E-03
1.21449158E+03     2.08902676E-02
1.21449487E+03     2.89734919E-02
1.21449805E+03     2.28763949E-02
1.21450134E+03     3.50122340E-02
1.21450464E+03     8.73320829E-03
