#
# Ionization fraction vs T for C
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI v9 atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..VII = ionization stage of carbon
#
logT  I      II     III    IV     V      VI     VII    
5.08 0.0000 0.0034 0.1814 0.2467 0.5684 0.0000 0.0000 
5.09 0.0000 0.0026 0.1466 0.2280 0.6228 0.0000 0.0000 
5.10 0.0000 0.0019 0.1174 0.2083 0.6724 0.0000 0.0000 
5.11 0.0000 0.0014 0.0933 0.1884 0.7168 0.0000 0.0000 
5.12 0.0000 0.0010 0.0738 0.1692 0.7560 0.0000 0.0000 
5.13 0.0000 0.0008 0.0581 0.1511 0.7901 0.0000 0.0000 
5.14 0.0000 0.0006 0.0456 0.1342 0.8196 0.0000 0.0000 
5.15 0.0000 0.0004 0.0358 0.1189 0.8449 0.0000 0.0000 
5.16 0.0000 0.0003 0.0280 0.1051 0.8666 0.0000 0.0000 
5.17 0.0000 0.0002 0.0220 0.0927 0.8851 0.0000 0.0000 
5.18 0.0000 0.0002 0.0173 0.0818 0.9008 0.0000 0.0000 
5.19 0.0000 0.0001 0.0136 0.0721 0.9142 0.0000 0.0000 
5.20 0.0000 0.0001 0.0107 0.0636 0.9256 0.0000 0.0000 
5.21 0.0000 0.0001 0.0084 0.0561 0.9354 0.0000 0.0000 
5.22 0.0000 0.0000 0.0067 0.0496 0.9437 0.0000 0.0000 
5.23 0.0000 0.0000 0.0053 0.0438 0.9508 0.0000 0.0000 
5.24 0.0000 0.0000 0.0042 0.0388 0.9570 0.0000 0.0000 
5.25 0.0000 0.0000 0.0034 0.0344 0.9622 0.0000 0.0000 
5.26 0.0000 0.0000 0.0027 0.0305 0.9667 0.0000 0.0000 
5.27 0.0000 0.0000 0.0022 0.0272 0.9707 0.0000 0.0000 
5.28 0.0000 0.0000 0.0017 0.0242 0.9741 0.0000 0.0000 
5.29 0.0000 0.0000 0.0014 0.0216 0.9770 0.0000 0.0000 
5.30 0.0000 0.0000 0.0011 0.0193 0.9796 0.0000 0.0000 
5.31 0.0000 0.0000 0.0009 0.0173 0.9818 0.0000 0.0000 
5.32 0.0000 0.0000 0.0008 0.0155 0.9837 0.0000 0.0000 
5.33 0.0000 0.0000 0.0006 0.0139 0.9855 0.0000 0.0000 
5.34 0.0000 0.0000 0.0005 0.0125 0.9870 0.0000 0.0000 
5.35 0.0000 0.0000 0.0004 0.0113 0.9883 0.0000 0.0000 
5.36 0.0000 0.0000 0.0003 0.0102 0.9895 0.0000 0.0000 
5.37 0.0000 0.0000 0.0003 0.0092 0.9905 0.0000 0.0000 
5.38 0.0000 0.0000 0.0002 0.0084 0.9914 0.0000 0.0000 
5.39 0.0000 0.0000 0.0002 0.0076 0.9922 0.0000 0.0000 
5.40 0.0000 0.0000 0.0002 0.0069 0.9929 0.0000 0.0000 
5.41 0.0000 0.0000 0.0001 0.0063 0.9936 0.0000 0.0000 
5.42 0.0000 0.0000 0.0001 0.0057 0.9942 0.0000 0.0000 
5.43 0.0000 0.0000 0.0001 0.0052 0.9947 0.0000 0.0000 
5.44 0.0000 0.0000 0.0001 0.0048 0.9951 0.0000 0.0000 
5.45 0.0000 0.0000 0.0001 0.0044 0.9956 0.0000 0.0000 
5.46 0.0000 0.0000 0.0001 0.0040 0.9959 0.0000 0.0000 
5.47 0.0000 0.0000 0.0000 0.0037 0.9962 0.0000 0.0000 
5.48 0.0000 0.0000 0.0000 0.0034 0.9965 0.0000 0.0000 
5.49 0.0000 0.0000 0.0000 0.0031 0.9968 0.0000 0.0000 
5.50 0.0000 0.0000 0.0000 0.0029 0.9970 0.0000 0.0000 
5.51 0.0000 0.0000 0.0000 0.0027 0.9972 0.0001 0.0000 
5.52 0.0000 0.0000 0.0000 0.0025 0.9974 0.0001 0.0000 
5.53 0.0000 0.0000 0.0000 0.0023 0.9976 0.0001 0.0000 
5.54 0.0000 0.0000 0.0000 0.0021 0.9977 0.0002 0.0000 
5.55 0.0000 0.0000 0.0000 0.0020 0.9977 0.0003 0.0000 
5.56 0.0000 0.0000 0.0000 0.0018 0.9978 0.0004 0.0000 
5.57 0.0000 0.0000 0.0000 0.0017 0.9978 0.0005 0.0000 
5.58 0.0000 0.0000 0.0000 0.0016 0.9977 0.0007 0.0000 
5.59 0.0000 0.0000 0.0000 0.0015 0.9975 0.0010 0.0000 
5.60 0.0000 0.0000 0.0000 0.0014 0.9973 0.0013 0.0000 
5.61 0.0000 0.0000 0.0000 0.0013 0.9969 0.0017 0.0000 
5.62 0.0000 0.0000 0.0000 0.0012 0.9965 0.0023 0.0000 
5.63 0.0000 0.0000 0.0000 0.0012 0.9958 0.0030 0.0000 
5.64 0.0000 0.0000 0.0000 0.0011 0.9949 0.0039 0.0000 
5.65 0.0000 0.0000 0.0000 0.0011 0.9938 0.0051 0.0000 
5.66 0.0000 0.0000 0.0000 0.0010 0.9924 0.0066 0.0000 
5.67 0.0000 0.0000 0.0000 0.0009 0.9905 0.0085 0.0000 
5.68 0.0000 0.0000 0.0000 0.0009 0.9882 0.0109 0.0000 
5.69 0.0000 0.0000 0.0000 0.0009 0.9853 0.0138 0.0000 
5.70 0.0000 0.0000 0.0000 0.0008 0.9817 0.0175 0.0000 
5.71 0.0000 0.0000 0.0000 0.0008 0.9773 0.0219 0.0000 
5.72 0.0000 0.0000 0.0000 0.0008 0.9719 0.0273 0.0000 
5.73 0.0000 0.0000 0.0000 0.0007 0.9654 0.0338 0.0000 
5.74 0.0000 0.0000 0.0000 0.0007 0.9576 0.0416 0.0001 
