#
# Ionization fraction vs T for O
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..IX = ionization stage of oxygen
#
logT  I      II     III    IV     V      VI     VII    VIII   IX     
5.08 0.0000 0.0126 0.4109 0.5517 0.0247 0.0000 0.0000 0.0000 0.0000 
5.09 0.0000 0.0107 0.3800 0.5784 0.0309 0.0000 0.0000 0.0000 0.0000 
5.10 0.0000 0.0091 0.3501 0.6026 0.0383 0.0000 0.0000 0.0000 0.0000 
5.11 0.0000 0.0076 0.3212 0.6241 0.0470 0.0000 0.0000 0.0000 0.0000 
5.12 0.0000 0.0064 0.2936 0.6426 0.0572 0.0001 0.0000 0.0000 0.0000 
5.13 0.0000 0.0054 0.2675 0.6580 0.0691 0.0001 0.0000 0.0000 0.0000 
5.14 0.0000 0.0045 0.2427 0.6700 0.0827 0.0001 0.0000 0.0000 0.0000 
5.15 0.0000 0.0038 0.2195 0.6785 0.0981 0.0002 0.0000 0.0000 0.0000 
5.16 0.0000 0.0031 0.1978 0.6833 0.1154 0.0003 0.0000 0.0000 0.0000 
5.17 0.0000 0.0026 0.1777 0.6846 0.1347 0.0004 0.0000 0.0000 0.0000 
5.18 0.0000 0.0021 0.1590 0.6823 0.1560 0.0006 0.0000 0.0000 0.0000 
5.19 0.0000 0.0018 0.1418 0.6764 0.1792 0.0009 0.0000 0.0000 0.0000 
5.20 0.0000 0.0015 0.1260 0.6670 0.2043 0.0013 0.0000 0.0000 0.0000 
5.21 0.0000 0.0012 0.1116 0.6544 0.2310 0.0018 0.0000 0.0000 0.0000 
5.22 0.0000 0.0010 0.0984 0.6388 0.2594 0.0025 0.0000 0.0000 0.0000 
5.23 0.0000 0.0008 0.0865 0.6203 0.2890 0.0034 0.0000 0.0000 0.0000 
5.24 0.0000 0.0006 0.0758 0.5993 0.3196 0.0046 0.0001 0.0000 0.0000 
5.25 0.0000 0.0005 0.0662 0.5762 0.3508 0.0061 0.0001 0.0000 0.0000 
