#
# CIE cooling function for Z=0.05 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
5.570 -22.837 -23.376 -23.759 -23.706 -24.299
5.580 -22.851 -23.378 -23.755 -23.709 -24.320
5.590 -22.864 -23.379 -23.750 -23.712 -24.340
5.600 -22.875 -23.381 -23.746 -23.715 -24.360
5.610 -22.885 -23.382 -23.741 -23.718 -24.380
5.620 -22.894 -23.384 -23.737 -23.721 -24.400
5.630 -22.902 -23.385 -23.732 -23.724 -24.420
5.640 -22.908 -23.386 -23.728 -23.728 -24.439
5.650 -22.915 -23.387 -23.723 -23.731 -24.459
5.660 -22.920 -23.388 -23.719 -23.734 -24.478
5.670 -22.925 -23.389 -23.714 -23.737 -24.497
5.680 -22.930 -23.390 -23.710 -23.741 -24.516
5.690 -22.935 -23.391 -23.705 -23.744 -24.535
5.700 -22.939 -23.392 -23.701 -23.747 -24.554
5.710 -22.944 -23.392 -23.697 -23.751 -24.572
5.720 -22.949 -23.393 -23.692 -23.754 -24.591
5.730 -22.954 -23.393 -23.688 -23.757 -24.609
5.740 -22.959 -23.393 -23.683 -23.761 -24.627
5.750 -22.965 -23.393 -23.679 -23.764 -24.645
5.760 -22.971 -23.394 -23.675 -23.768 -24.663
5.770 -22.977 -23.394 -23.670 -23.771 -24.680
5.780 -22.984 -23.394 -23.666 -23.774 -24.698
5.790 -22.990 -23.394 -23.662 -23.778 -24.715
5.800 -22.997 -23.394 -23.657 -23.781 -24.732
5.810 -23.003 -23.393 -23.653 -23.785 -24.748
5.820 -23.009 -23.393 -23.649 -23.788 -24.765
5.830 -23.014 -23.393 -23.645 -23.792 -24.781
5.840 -23.019 -23.393 -23.640 -23.796 -24.797
5.850 -23.023 -23.392 -23.636 -23.799 -24.813
5.860 -23.027 -23.392 -23.632 -23.803 -24.828
5.870 -23.030 -23.391 -23.627 -23.807 -24.843
5.880 -23.033 -23.391 -23.623 -23.810 -24.858
5.890 -23.035 -23.390 -23.619 -23.814 -24.873
5.900 -23.037 -23.389 -23.615 -23.818 -24.887
5.910 -23.038 -23.389 -23.610 -23.821 -24.902
5.920 -23.039 -23.388 -23.606 -23.825 -24.915
5.930 -23.040 -23.387 -23.602 -23.829 -24.929
5.940 -23.041 -23.386 -23.598 -23.833 -24.942
5.950 -23.042 -23.385 -23.594 -23.836 -24.955
5.960 -23.042 -23.384 -23.589 -23.840 -24.968
5.970 -23.043 -23.383 -23.585 -23.843 -24.981
5.980 -23.044 -23.382 -23.581 -23.847 -24.993
5.990 -23.044 -23.381 -23.577 -23.850 -25.005
6.000 -23.045 -23.380 -23.572 -23.854 -25.016
6.010 -23.046 -23.378 -23.568 -23.857 -25.028
6.020 -23.048 -23.377 -23.564 -23.860 -25.039
6.030 -23.049 -23.375 -23.560 -23.863 -25.049
6.040 -23.050 -23.374 -23.556 -23.866 -25.060
6.050 -23.051 -23.372 -23.551 -23.869 -25.070
6.060 -23.053 -23.370 -23.547 -23.872 -25.080
6.070 -23.054 -23.369 -23.543 -23.875 -25.090
6.080 -23.056 -23.367 -23.539 -23.878 -25.099
6.090 -23.057 -23.365 -23.535 -23.881 -25.108
6.100 -23.058 -23.363 -23.530 -23.883 -25.117
6.110 -23.059 -23.361 -23.526 -23.886 -25.125
6.120 -23.060 -23.359 -23.522 -23.888 -25.133
6.130 -23.062 -23.357 -23.518 -23.891 -25.141
6.140 -23.063 -23.355 -23.514 -23.893 -25.148
6.150 -23.064 -23.353 -23.509 -23.896 -25.154
6.160 -23.065 -23.351 -23.505 -23.898 -25.160
6.170 -23.066 -23.349 -23.501 -23.900 -25.166
6.180 -23.068 -23.346 -23.497 -23.902 -25.171
6.190 -23.069 -23.344 -23.493 -23.904 -25.175
6.200 -23.071 -23.341 -23.488 -23.906 -25.179
6.210 -23.073 -23.339 -23.484 -23.907 -25.182
6.220 -23.075 -23.336 -23.480 -23.909 -25.185
6.230 -23.078 -23.334 -23.476 -23.910 -25.187
6.240 -23.080 -23.331 -23.472 -23.912 -25.189
6.250 -23.083 -23.328 -23.467 -23.913 -25.191
6.260 -23.087 -23.325 -23.463 -23.913 -25.193
6.270 -23.090 -23.323 -23.459 -23.914 -25.194
6.280 -23.094 -23.320 -23.455 -23.914 -25.195
6.290 -23.099 -23.317 -23.451 -23.915 -25.196
6.300 -23.103 -23.313 -23.446 -23.914 -25.197
6.310 -23.108 -23.310 -23.442 -23.914 -25.199
6.320 -23.113 -23.307 -23.438 -23.914 -25.200
6.330 -23.118 -23.304 -23.434 -23.913 -25.202
6.340 -23.122 -23.300 -23.429 -23.912 -25.204
6.350 -23.127 -23.297 -23.425 -23.911 -25.207
6.360 -23.131 -23.293 -23.421 -23.909 -25.210
6.370 -23.135 -23.290 -23.416 -23.908 -25.214
6.380 -23.139 -23.286 -23.412 -23.906 -25.218
6.390 -23.142 -23.283 -23.408 -23.904 -25.224
6.400 -23.145 -23.279 -23.403 -23.903 -25.230
6.410 -23.148 -23.275 -23.399 -23.901 -25.237
6.420 -23.151 -23.272 -23.395 -23.899 -25.244
6.430 -23.153 -23.268 -23.390 -23.897 -25.253
6.440 -23.155 -23.264 -23.386 -23.895 -25.262
6.450 -23.156 -23.261 -23.381 -23.893 -25.272
6.460 -23.157 -23.257 -23.377 -23.892 -25.283
6.470 -23.158 -23.253 -23.372 -23.890 -25.294
6.480 -23.159 -23.250 -23.368 -23.889 -25.306
