#
# CIE cooling function for Z=10 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
5.450 -20.303 -23.344 -23.816 -23.678 -24.045
5.460 -20.328 -23.348 -23.811 -23.680 -24.066
5.470 -20.355 -23.351 -23.806 -23.682 -24.088
5.480 -20.385 -23.354 -23.802 -23.684 -24.109
5.490 -20.417 -23.357 -23.797 -23.687 -24.130
5.500 -20.451 -23.360 -23.792 -23.689 -24.150
5.510 -20.485 -23.362 -23.788 -23.691 -24.170
5.520 -20.518 -23.364 -23.783 -23.693 -24.189
5.530 -20.551 -23.367 -23.778 -23.696 -24.208
5.540 -20.582 -23.368 -23.774 -23.698 -24.226
5.550 -20.611 -23.370 -23.769 -23.701 -24.244
5.560 -20.637 -23.372 -23.764 -23.704 -24.260
5.570 -20.661 -23.373 -23.760 -23.706 -24.275
5.580 -20.681 -23.374 -23.755 -23.709 -24.288
5.590 -20.699 -23.375 -23.751 -23.712 -24.300
5.600 -20.714 -23.376 -23.746 -23.715 -24.310
5.610 -20.726 -23.376 -23.742 -23.718 -24.317
5.620 -20.737 -23.376 -23.737 -23.721 -24.322
5.630 -20.745 -23.376 -23.733 -23.724 -24.324
5.640 -20.752 -23.375 -23.728 -23.728 -24.322
5.650 -20.757 -23.374 -23.724 -23.731 -24.318
5.660 -20.762 -23.372 -23.719 -23.734 -24.309
5.670 -20.765 -23.370 -23.715 -23.737 -24.297
5.680 -20.768 -23.368 -23.710 -23.741 -24.281
5.690 -20.771 -23.365 -23.706 -23.744 -24.262
5.700 -20.775 -23.361 -23.702 -23.747 -24.239
5.710 -20.778 -23.357 -23.697 -23.751 -24.213
5.720 -20.782 -23.352 -23.693 -23.754 -24.184
5.730 -20.787 -23.347 -23.688 -23.757 -24.153
5.740 -20.793 -23.341 -23.684 -23.761 -24.119
5.750 -20.800 -23.334 -23.680 -23.764 -24.085
5.760 -20.807 -23.327 -23.675 -23.768 -24.049
5.770 -20.816 -23.319 -23.671 -23.771 -24.012
5.780 -20.825 -23.310 -23.667 -23.774 -23.976
5.790 -20.834 -23.301 -23.662 -23.778 -23.939
5.800 -20.844 -23.292 -23.658 -23.781 -23.902
5.810 -20.853 -23.282 -23.654 -23.785 -23.867
5.820 -20.862 -23.272 -23.649 -23.788 -23.832
5.830 -20.870 -23.262 -23.645 -23.792 -23.797
5.840 -20.877 -23.251 -23.641 -23.796 -23.764
5.850 -20.883 -23.241 -23.637 -23.799 -23.733
5.860 -20.888 -23.230 -23.632 -23.803 -23.702
5.870 -20.891 -23.219 -23.628 -23.807 -23.672
5.880 -20.894 -23.208 -23.624 -23.810 -23.644
5.890 -20.896 -23.197 -23.620 -23.814 -23.617
5.900 -20.897 -23.186 -23.615 -23.818 -23.591
5.910 -20.898 -23.175 -23.611 -23.821 -23.565
5.920 -20.898 -23.165 -23.607 -23.825 -23.541
5.930 -20.898 -23.154 -23.603 -23.829 -23.518
5.940 -20.897 -23.143 -23.598 -23.833 -23.495
5.950 -20.897 -23.133 -23.594 -23.836 -23.474
5.960 -20.896 -23.122 -23.590 -23.840 -23.453
5.970 -20.896 -23.112 -23.586 -23.843 -23.432
5.980 -20.896 -23.102 -23.582 -23.847 -23.413
5.990 -20.897 -23.092 -23.577 -23.850 -23.394
6.000 -20.898 -23.082 -23.573 -23.854 -23.376
6.010 -20.899 -23.072 -23.569 -23.857 -23.359
6.020 -20.901 -23.063 -23.565 -23.860 -23.342
6.030 -20.903 -23.054 -23.561 -23.863 -23.327
6.040 -20.906 -23.045 -23.556 -23.866 -23.311
6.050 -20.908 -23.036 -23.552 -23.869 -23.297
6.060 -20.911 -23.028 -23.548 -23.872 -23.283
6.070 -20.914 -23.019 -23.544 -23.875 -23.270
6.080 -20.917 -23.011 -23.540 -23.878 -23.256
6.090 -20.920 -23.003 -23.535 -23.881 -23.243
6.100 -20.924 -22.994 -23.531 -23.883 -23.231
6.110 -20.927 -22.986 -23.527 -23.886 -23.218
6.120 -20.930 -22.977 -23.523 -23.888 -23.205
6.130 -20.934 -22.969 -23.519 -23.891 -23.192
6.140 -20.937 -22.960 -23.514 -23.893 -23.179
6.150 -20.941 -22.951 -23.510 -23.896 -23.165
6.160 -20.945 -22.941 -23.506 -23.898 -23.151
6.170 -20.949 -22.932 -23.502 -23.900 -23.137
6.180 -20.954 -22.922 -23.498 -23.902 -23.123
6.190 -20.959 -22.912 -23.493 -23.904 -23.108
6.200 -20.965 -22.902 -23.489 -23.906 -23.094
6.210 -20.971 -22.891 -23.485 -23.908 -23.079
6.220 -20.979 -22.881 -23.481 -23.909 -23.065
6.230 -20.987 -22.871 -23.477 -23.910 -23.051
6.240 -20.996 -22.861 -23.472 -23.912 -23.037
6.250 -21.006 -22.850 -23.468 -23.913 -23.023
6.260 -21.018 -22.841 -23.464 -23.913 -23.010
6.270 -21.031 -22.831 -23.460 -23.914 -22.997
6.280 -21.045 -22.822 -23.456 -23.914 -22.985
6.290 -21.061 -22.813 -23.451 -23.915 -22.974
6.300 -21.078 -22.805 -23.447 -23.915 -22.964
6.310 -21.096 -22.797 -23.443 -23.914 -22.954
6.320 -21.116 -22.790 -23.439 -23.914 -22.946
6.330 -21.136 -22.784 -23.434 -23.913 -22.938
6.340 -21.157 -22.779 -23.430 -23.912 -22.932
6.350 -21.179 -22.774 -23.426 -23.911 -22.926
6.360 -21.201 -22.770 -23.421 -23.910 -22.923
6.370 -21.223 -22.767 -23.417 -23.908 -22.920
6.380 -21.246 -22.765 -23.413 -23.906 -22.919
6.390 -21.268 -22.764 -23.408 -23.905 -22.919
6.400 -21.290 -22.764 -23.404 -23.903 -22.920
6.410 -21.312 -22.765 -23.400 -23.901 -22.923
6.420 -21.333 -22.767 -23.395 -23.899 -22.928
6.430 -21.354 -22.770 -23.391 -23.897 -22.933
6.440 -21.375 -22.773 -23.387 -23.895 -22.940
6.450 -21.395 -22.777 -23.382 -23.894 -22.948
6.460 -21.415 -22.782 -23.378 -23.892 -22.957
6.470 -21.434 -22.787 -23.373 -23.890 -22.967
6.480 -21.452 -22.793 -23.369 -23.889 -22.977
6.490 -21.470 -22.799 -23.364 -23.888 -22.989
6.500 -21.487 -22.806 -23.360 -23.887 -23.001
6.510 -21.502 -22.812 -23.355 -23.886 -23.013
6.520 -21.517 -22.819 -23.351 -23.886 -23.026
6.530 -21.531 -22.825 -23.346 -23.885 -23.039
6.540 -21.544 -22.832 -23.342 -23.885 -23.052
6.550 -21.558 -22.840 -23.337 -23.885 -23.068
6.560 -21.569 -22.846 -23.333 -23.885 -23.081
6.570 -21.579 -22.852 -23.328 -23.885 -23.094
6.580 -21.588 -22.858 -23.324 -23.886 -23.106
6.590 -21.596 -22.863 -23.319 -23.886 -23.119
6.600 -21.603 -22.868 -23.314 -23.887 -23.131
6.610 -21.609 -22.873 -23.310 -23.887 -23.142
6.620 -21.615 -22.877 -23.305 -23.888 -23.153
6.630 -21.620 -22.881 -23.301 -23.889 -23.164
6.640 -21.624 -22.884 -23.296 -23.889 -23.174
6.650 -21.627 -22.888 -23.291 -23.890 -23.184
6.660 -21.630 -22.891 -23.287 -23.891 -23.193
6.670 -21.632 -22.894 -23.282 -23.892 -23.203
6.680 -21.634 -22.896 -23.277 -23.893 -23.211
6.690 -21.635 -22.898 -23.273 -23.894 -23.220
6.700 -21.636 -22.900 -23.268 -23.895 -23.228
6.710 -21.636 -22.902 -23.263 -23.896 -23.237
6.720 -21.636 -22.904 -23.259 -23.897 -23.245
6.730 -21.636 -22.906 -23.254 -23.898 -23.253
6.740 -21.635 -22.907 -23.249 -23.900 -23.260
6.750 -21.634 -22.908 -23.245 -23.901 -23.268
6.760 -21.634 -22.910 -23.240 -23.902 -23.276
6.770 -21.633 -22.911 -23.235 -23.904 -23.283
