#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
4.820 -21.449 -22.895 -24.166 -23.761 -22.987 -23.134 -22.398 -21.829 -22.761 -22.060 -23.599 -25.947 -22.447 -22.934 -23.485
4.830 -21.430 -22.861 -24.160 -23.755 -22.947 -23.153 -22.347 -21.812 -22.740 -22.041 -23.559 -25.971 -22.446 -22.914 -23.485
4.840 -21.411 -22.830 -24.154 -23.747 -22.910 -23.172 -22.301 -21.796 -22.720 -22.022 -23.520 -25.993 -22.450 -22.894 -23.485
4.850 -21.394 -22.801 -24.148 -23.739 -22.877 -23.190 -22.260 -21.780 -22.699 -22.004 -23.483 -26.012 -22.458 -22.874 -23.485
4.860 -21.377 -22.775 -24.142 -23.730 -22.848 -23.209 -22.225 -21.764 -22.679 -21.985 -23.446 -26.028 -22.472 -22.854 -23.486
4.870 -21.362 -22.753 -24.137 -23.720 -22.824 -23.228 -22.194 -21.749 -22.660 -21.967 -23.411 -26.039 -22.492 -22.834 -23.486
4.880 -21.348 -22.735 -24.131 -23.710 -22.804 -23.246 -22.169 -21.735 -22.640 -21.949 -23.376 -26.044 -22.518 -22.815 -23.487
4.890 -21.335 -22.722 -24.125 -23.700 -22.789 -23.264 -22.150 -21.721 -22.621 -21.932 -23.342 -26.043 -22.549 -22.795 -23.488
4.900 -21.324 -22.712 -24.120 -23.689 -22.780 -23.282 -22.136 -21.708 -22.602 -21.914 -23.309 -26.033 -22.587 -22.777 -23.488
4.910 -21.313 -22.707 -24.114 -23.680 -22.775 -23.300 -22.127 -21.696 -22.584 -21.896 -23.277 -26.013 -22.632 -22.758 -23.488
4.920 -21.304 -22.706 -24.108 -23.671 -22.776 -23.318 -22.123 -21.685 -22.565 -21.879 -23.244 -25.983 -22.681 -22.740 -23.488
4.930 -21.295 -22.709 -24.103 -23.662 -22.780 -23.336 -22.124 -21.675 -22.547 -21.862 -23.213 -25.942 -22.735 -22.723 -23.488
4.940 -21.288 -22.715 -24.097 -23.655 -22.788 -23.353 -22.128 -21.667 -22.530 -21.845 -23.182 -25.890 -22.793 -22.706 -23.488
4.950 -21.281 -22.723 -24.091 -23.648 -22.800 -23.371 -22.137 -21.660 -22.512 -21.828 -23.151 -25.828 -22.853 -22.690 -23.488
4.960 -21.276 -22.735 -24.085 -23.642 -22.815 -23.388 -22.148 -21.655 -22.495 -21.811 -23.120 -25.758 -22.916 -22.675 -23.488
4.970 -21.271 -22.748 -24.080 -23.637 -22.832 -23.405 -22.162 -21.654 -22.478 -21.794 -23.090 -25.680 -22.979 -22.660 -23.487
4.980 -21.268 -22.764 -24.074 -23.633 -22.852 -23.423 -22.179 -21.655 -22.462 -21.777 -23.060 -25.598 -23.043 -22.646 -23.487
4.990 -21.266 -22.780 -24.068 -23.630 -22.873 -23.440 -22.197 -21.660 -22.445 -21.761 -23.031 -25.511 -23.107 -22.632 -23.486
5.000 -21.266 -22.798 -24.062 -23.627 -22.897 -23.456 -22.217 -21.670 -22.430 -21.744 -23.002 -25.424 -23.171 -22.620 -23.485
5.010 -21.267 -22.817 -24.056 -23.624 -22.921 -23.473 -22.239 -21.685 -22.414 -21.728 -22.973 -25.335 -23.234 -22.608 -23.484
5.020 -21.270 -22.836 -24.051 -23.623 -22.946 -23.490 -22.261 -21.706 -22.399 -21.712 -22.945 -25.247 -23.297 -22.596 -23.483
5.030 -21.274 -22.855 -24.045 -23.621 -22.972 -23.507 -22.284 -21.732 -22.384 -21.696 -22.918 -25.160 -23.358 -22.586 -23.481
5.040 -21.279 -22.875 -24.039 -23.620 -22.999 -23.523 -22.308 -21.764 -22.370 -21.680 -22.891 -25.075 -23.418 -22.576 -23.479
5.050 -21.285 -22.895 -24.033 -23.620 -23.026 -23.540 -22.332 -21.801 -22.356 -21.664 -22.865 -24.992 -23.477 -22.566 -23.477
5.060 -21.291 -22.914 -24.027 -23.619 -23.054 -23.556 -22.357 -21.845 -22.343 -21.648 -22.840 -24.912 -23.534 -22.557 -23.474
5.070 -21.297 -22.934 -24.021 -23.619 -23.081 -23.572 -22.382 -21.893 -22.330 -21.633 -22.815 -24.834 -23.590 -22.549 -23.472
