#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
7.380 -22.782 -22.898 -22.941 -23.976 -24.801 -26.529 -25.901 -25.732 -25.872 -24.663 -24.839 -24.806 -24.397 -24.275 -23.598
7.390 -22.783 -22.894 -22.937 -23.979 -24.812 -26.542 -25.913 -25.745 -25.884 -24.676 -24.854 -24.823 -24.414 -24.288 -23.616
7.400 -22.783 -22.890 -22.932 -23.982 -24.822 -26.555 -25.926 -25.757 -25.897 -24.689 -24.869 -24.839 -24.430 -24.301 -23.633
7.410 -22.783 -22.885 -22.927 -23.985 -24.832 -26.568 -25.939 -25.770 -25.909 -24.701 -24.883 -24.855 -24.447 -24.314 -23.649
7.420 -22.783 -22.881 -22.922 -23.988 -24.842 -26.582 -25.951 -25.782 -25.921 -24.714 -24.898 -24.871 -24.464 -24.328 -23.665
7.430 -22.783 -22.877 -22.917 -23.991 -24.851 -26.595 -25.964 -25.795 -25.933 -24.727 -24.912 -24.887 -24.481 -24.342 -23.679
7.440 -22.783 -22.873 -22.912 -23.994 -24.860 -26.608 -25.976 -25.808 -25.946 -24.739 -24.926 -24.903 -24.498 -24.357 -23.693
7.450 -22.782 -22.869 -22.908 -23.997 -24.869 -26.621 -25.989 -25.820 -25.958 -24.752 -24.940 -24.919 -24.515 -24.372 -23.706
7.460 -22.781 -22.865 -22.903 -24.000 -24.878 -26.634 -26.002 -25.832 -25.970 -24.764 -24.954 -24.935 -24.532 -24.387 -23.719
7.470 -22.780 -22.861 -22.898 -24.003 -24.886 -26.647 -26.014 -25.845 -25.982 -24.777 -24.968 -24.951 -24.549 -24.402 -23.730
7.480 -22.778 -22.857 -22.893 -24.007 -24.894 -26.660 -26.027 -25.857 -25.994 -24.789 -24.982 -24.966 -24.566 -24.417 -23.742
7.490 -22.777 -22.853 -22.888 -24.010 -24.901 -26.673 -26.040 -25.870 -26.006 -24.801 -24.996 -24.981 -24.582 -24.433 -23.752
7.500 -22.775 -22.849 -22.883 -24.014 -24.908 -26.687 -26.053 -25.882 -26.018 -24.814 -25.010 -24.997 -24.599 -24.449 -23.762
7.510 -22.774 -22.844 -22.879 -24.017 -24.914 -26.700 -26.065 -25.894 -26.030 -24.826 -25.023 -25.012 -24.615 -24.464 -23.771
7.520 -22.772 -22.840 -22.874 -24.021 -24.920 -26.713 -26.078 -25.907 -26.042 -24.838 -25.037 -25.027 -24.632 -24.480 -23.779
7.530 -22.770 -22.836 -22.869 -24.024 -24.925 -26.726 -26.091 -25.919 -26.053 -24.850 -25.050 -25.042 -24.648 -24.496 -23.787
7.540 -22.767 -22.832 -22.864 -24.028 -24.930 -26.739 -26.104 -25.931 -26.065 -24.862 -25.064 -25.057 -24.665 -24.513 -23.794
7.550 -22.765 -22.828 -22.859 -24.031 -24.935 -26.753 -26.116 -25.944 -26.077 -24.874 -25.077 -25.072 -24.681 -24.529 -23.801
7.560 -22.763 -22.823 -22.855 -24.035 -24.939 -26.766 -26.129 -25.956 -26.089 -24.886 -25.091 -25.087 -24.697 -24.545 -23.807
7.570 -22.760 -22.819 -22.850 -24.038 -24.942 -26.779 -26.142 -25.968 -26.100 -24.898 -25.104 -25.102 -24.713 -24.562 -23.813
7.580 -22.758 -22.815 -22.845 -24.042 -24.946 -26.792 -26.155 -25.981 -26.112 -24.910 -25.117 -25.116 -24.729 -24.578 -23.818
7.590 -22.755 -22.811 -22.840 -24.046 -24.948 -26.806 -26.168 -25.993 -26.124 -24.921 -25.130 -25.131 -24.745 -24.594 -23.823
7.600 -22.752 -22.807 -22.835 -24.049 -24.951 -26.819 -26.180 -26.005 -26.135 -24.933 -25.143 -25.145 -24.761 -24.611 -23.827
7.610 -22.749 -22.802 -22.831 -24.053 -24.953 -26.832 -26.193 -26.017 -26.147 -24.945 -25.156 -25.160 -24.776 -24.627 -23.831
7.620 -22.746 -22.798 -22.826 -24.056 -24.955 -26.845 -26.206 -26.029 -26.158 -24.957 -25.169 -25.174 -24.792 -24.643 -23.835
7.630 -22.743 -22.794 -22.821 -24.060 -24.956 -26.859 -26.219 -26.042 -26.170 -24.968 -25.181 -25.188 -24.808 -24.659 -23.838
7.640 -22.740 -22.789 -22.816 -24.063 -24.957 -26.872 -26.232 -26.054 -26.181 -24.980 -25.194 -25.203 -24.823 -24.676 -23.841
7.650 -22.737 -22.785 -22.812 -24.067 -24.958 -26.885 -26.245 -26.066 -26.193 -24.992 -25.207 -25.217 -24.839 -24.692 -23.844
7.660 -22.734 -22.781 -22.807 -24.070 -24.959 -26.899 -26.257 -26.078 -26.204 -25.003 -25.219 -25.231 -24.854 -24.708 -23.847
7.670 -22.731 -22.777 -22.802 -24.073 -24.959 -26.912 -26.270 -26.090 -26.215 -25.014 -25.232 -25.245 -24.869 -24.724 -23.849
7.680 -22.727 -22.772 -22.797 -24.077 -24.960 -26.925 -26.283 -26.103 -26.227 -25.026 -25.245 -25.258 -24.884 -24.740 -23.851
7.690 -22.724 -22.768 -22.793 -24.080 -24.960 -26.939 -26.296 -26.115 -26.238 -25.037 -25.257 -25.272 -24.899 -24.756 -23.853
7.700 -22.721 -22.764 -22.788 -24.083 -24.960 -26.952 -26.309 -26.127 -26.249 -25.049 -25.269 -25.286 -24.914 -24.772 -23.855
7.710 -22.717 -22.759 -22.783 -24.086 -24.960 -26.965 -26.322 -26.139 -26.261 -25.060 -25.282 -25.300 -24.929 -24.788 -23.857
7.720 -22.714 -22.755 -22.778 -24.089 -24.961 -26.979 -26.335 -26.151 -26.272 -25.071 -25.294 -25.313 -24.944 -24.804 -23.859
7.730 -22.710 -22.750 -22.774 -24.091 -24.961 -26.992 -26.348 -26.164 -26.283 -25.083 -25.306 -25.327 -24.959 -24.820 -23.861
7.740 -22.707 -22.746 -22.769 -24.094 -24.961 -27.005 -26.361 -26.176 -26.294 -25.094 -25.318 -25.340 -24.973 -24.835 -23.862
7.750 -22.703 -22.742 -22.764 -24.097 -24.961 -27.019 -26.374 -26.188 -26.305 -25.105 -25.330 -25.353 -24.988 -24.851 -23.864
7.760 -22.699 -22.737 -22.759 -24.099 -24.961 -27.032 -26.387 -26.200 -26.316 -25.116 -25.343 -25.367 -25.002 -24.866 -23.866
7.770 -22.696 -22.733 -22.755 -24.101 -24.962 -27.046 -26.400 -26.212 -26.328 -25.127 -25.355 -25.380 -25.017 -24.882 -23.868
7.780 -22.692 -22.729 -22.750 -24.103 -24.962 -27.059 -26.413 -26.224 -26.339 -25.139 -25.366 -25.393 -25.031 -24.897 -23.870
7.790 -22.689 -22.724 -22.745 -24.105 -24.963 -27.073 -26.426 -26.237 -26.350 -25.150 -25.378 -25.406 -25.045 -24.912 -23.872
7.800 -22.685 -22.720 -22.741 -24.107 -24.964 -27.086 -26.439 -26.249 -26.462 -25.161 -25.390 -25.419 -25.059 -24.928 -23.875
7.810 -22.681 -22.715 -22.736 -24.109 -24.965 -27.099 -26.452 -26.261 -26.474 -25.172 -25.402 -25.432 -25.073 -24.943 -23.877
7.820 -22.677 -22.711 -22.731 -24.111 -24.967 -27.113 -26.465 -26.273 -26.486 -25.183 -25.414 -25.445 -25.087 -24.958 -23.880
7.830 -22.674 -22.706 -22.726 -24.112 -24.969 -27.126 -26.478 -26.285 -26.499 -25.194 -25.426 -25.458 -25.101 -24.973 -23.883
7.840 -22.670 -22.702 -22.722 -24.113 -24.971 -27.140 -26.491 -26.297 -26.511 -25.205 -25.437 -25.471 -25.115 -24.987 -23.886
7.850 -22.666 -22.698 -22.717 -24.114 -24.973 -27.153 -26.504 -26.310 -26.523 -25.216 -25.449 -25.483 -25.129 -25.002 -23.889
7.860 -22.663 -22.693 -22.712 -24.115 -24.975 -27.167 -26.517 -26.322 -26.536 -25.226 -25.461 -25.496 -25.142 -25.017 -23.893
7.870 -22.659 -22.689 -22.708 -24.116 -24.978 -27.180 -26.530 -26.334 -26.548 -25.237 -25.472 -25.509 -25.156 -25.031 -23.897
7.880 -22.655 -22.684 -22.703 -24.117 -24.982 -27.194 -26.543 -26.346 -26.560 -25.248 -25.484 -25.521 -25.170 -25.046 -23.901
7.890 -22.651 -22.680 -22.698 -24.117 -24.985 -27.208 -26.556 -26.359 -26.572 -25.259 -25.495 -25.534 -25.183 -25.060 -23.906
7.900 -22.648 -22.675 -22.694 -24.118 -24.989 -27.221 -26.570 -26.371 -26.585 -25.270 -25.507 -25.546 -25.197 -25.075 -23.911
7.910 -22.644 -22.671 -22.689 -24.118 -24.994 -27.235 -26.583 -26.383 -26.597 -25.281 -25.518 -25.558 -25.210 -25.089 -23.916
7.920 -22.640 -22.666 -22.684 -24.119 -24.998 -27.248 -26.596 -26.395 -26.609 -25.291 -25.530 -25.571 -25.223 -25.103 -23.921
7.930 -22.636 -22.662 -22.680 -24.119 -25.004 -27.262 -26.609 -26.407 -26.622 -25.302 -25.541 -25.583 -25.236 -25.117 -23.927
7.940 -22.632 -22.658 -22.675 -24.119 -25.009 -27.275 -26.622 -26.420 -26.634 -25.313 -25.552 -25.595 -25.249 -25.131 -23.933
7.950 -22.629 -22.653 -22.670 -24.119 -25.015 -27.289 -26.635 -26.432 -26.646 -25.323 -25.564 -25.608 -25.262 -25.145 -23.940
7.960 -22.625 -22.649 -22.666 -24.119 -25.021 -27.303 -26.648 -26.444 -26.659 -25.334 -25.575 -25.620 -25.275 -25.159 -23.946
7.970 -22.621 -22.644 -22.661 -24.119 -25.028 -27.316 -26.662 -26.456 -26.671 -25.345 -25.586 -25.632 -25.288 -25.173 -23.953
7.980 -22.617 -22.640 -22.656 -24.119 -25.035 -27.330 -26.675 -26.469 -26.683 -25.355 -25.597 -25.644 -25.301 -25.187 -23.960
7.990 -22.614 -22.635 -22.652 -24.119 -25.042 -27.343 -26.688 -26.481 -26.696 -25.366 -25.608 -25.656 -25.314 -25.201 -23.968
8.000 -22.610 -22.631 -22.647 -24.119 -25.050 -27.357 -26.701 -26.493 -26.708 -25.377 -25.619 -25.668 -25.327 -25.214 -23.976
