lambda       flux        ferr     
3793.00      8.04406     0.139543 
3794.00      8.26046     0.139199 
3795.00      8.65530     0.139534 
3796.00      10.3116     0.139929 
3797.00      12.6668     0.139704 
3798.00      13.7635     0.140029 
3799.00      13.5957     0.139835 
3800.00      12.6165     0.139734 
3801.00      10.9282     0.139397 
3802.00      9.16421     0.139577 
3803.00      8.63435     0.139188 
3804.00      8.63985     0.139003 
3805.00      8.41814     0.139267 
3806.00      8.58214     0.138717 
3807.00      8.20176     0.138769 
3808.00      8.20327     0.138775 
3809.00      8.58808     0.138423 
3810.00      8.62765     0.138256 
3811.00      8.76154     0.138105 
3812.00      8.74637     0.137979 
3813.00      8.65432     0.137818 
3814.00      8.86892     0.137648 
3815.00      8.90979     0.137303 
3816.00      8.82345     0.137385 
3817.00      9.03769     0.136893 
3818.00      8.74791     0.136776 
3819.00      8.69211     0.136657 
3820.00      9.01160     0.136116 
3821.00      9.02439     0.136224 
3822.00      8.77073     0.135809 
3823.00      8.51989     0.135819 
3824.00      8.44326     0.135726 
3825.00      8.16926     0.135613 
3826.00      8.43518     0.135116 
3827.00      8.63346     0.135288 
3828.00      8.77246     0.134728 
3829.00      8.51770     0.134890 
3830.00      8.49633     0.134332 
3831.00      8.42243     0.134428 
3832.00      8.87979     0.134327 
3833.00      10.3451     0.134971 
3834.00      12.8559     0.135369 
3835.00      15.8916     0.135334 
3836.00      17.2237     0.135627 
3837.00      16.5083     0.135379 
3838.00      14.0962     0.134981 
3839.00      10.4328     0.135190 
3840.00      8.52324     0.134547 
3841.00      8.50134     0.133711 
3842.00      8.43202     0.133765 
3843.00      8.34762     0.133470 
3844.00      8.20393     0.133275 
3845.00      8.38969     0.132911 
3846.00      8.63213     0.132656 
3847.00      8.47212     0.132579 
3848.00      8.45255     0.132130 
3849.00      8.51584     0.131676 
3850.00      8.38412     0.131484 
3851.00      8.46237     0.130906 
3852.00      8.35744     0.130724 
3853.00      8.44293     0.130598 
3854.00      8.50374     0.130352 
3855.00      8.62394     0.130199 
3856.00      8.76235     0.130187 
3857.00      8.67745     0.130148 
3858.00      8.60563     0.130021 
3859.00      8.43993     0.129946 
3860.00      8.22103     0.129990 
3861.00      8.25229     0.129789 
3862.00      8.78718     0.129725 
3863.00      8.79983     0.129808 
3864.00      8.82956     0.129855 
3865.00      8.76709     0.130013 
3866.00      8.69931     0.130187 
3867.00      8.60475     0.130656 
3868.00      8.77618     0.131021 
3869.00      8.99622     0.131160 
3870.00      9.02047     0.131693 
3871.00      9.19817     0.131925 
3872.00      8.98156     0.132141 
3873.00      8.69528     0.132442 
3874.00      8.74170     0.132753 
3875.00      8.68696     0.132883 
3876.00      8.53053     0.133369 
3877.00      8.49450     0.133734 
3878.00      8.63076     0.133952 
3879.00      8.79600     0.134108 
3880.00      8.64559     0.134844 
3881.00      8.86056     0.134817 
3882.00      8.88203     0.135344 
3883.00      8.95249     0.135541 
3884.00      8.98157     0.136331 
3885.00      9.65573     0.137014 
3886.00      11.8298     0.138115 
3887.00      16.6807     0.139122 
3888.00      23.8452     0.139826 
3889.00      29.8013     0.139881 
3890.00      30.8966     0.140266 
3891.00      26.7303     0.140341 
3892.00      18.8595     0.140587 
3893.00      12.0388     0.140941 
3894.00      9.66199     0.139784 
3895.00      9.35966     0.139755 
3896.00      9.32909     0.139778 
3897.00      8.90527     0.139963 
3898.00      8.44928     0.140645 
3899.00      8.80509     0.140533 
3900.00      9.23846     0.141284 
3901.00      9.53866     0.141518 
3902.00      9.31433     0.141827 
3903.00      9.00694     0.142490 
3904.00      8.92655     0.142531 
3905.00      8.88365     0.142874 
3906.00      8.81189     0.143102 
3907.00      8.99192     0.143323 
3908.00      9.33187     0.143142 
3909.00      9.03971     0.143580 
3910.00      8.92602     0.143346 
3911.00      8.69020     0.143491 
3912.00      8.42817     0.143185 
3913.00      8.06089     0.143197 
3914.00      8.19043     0.142866 
3915.00      8.41269     0.142834 
3916.00      8.74779     0.142531 
3917.00      8.94218     0.142358 
3918.00      8.99892     0.141929 
3919.00      8.73162     0.141482 
3920.00      8.43684     0.140911 
3921.00      8.34230     0.140375 
3922.00      8.44133     0.139725 
3923.00      8.42066     0.138666 
3924.00      8.18140     0.138174 
3925.00      8.06461     0.137341 
3926.00      7.93132     0.136531 
3927.00      8.03834     0.135779 
3928.00      8.08757     0.135263 
3929.00      8.23055     0.135083 
3930.00      8.14184     0.134923 
3931.00      8.30065     0.134737 
3932.00      8.60448     0.134488 
3933.00      8.47336     0.134345 
3934.00      8.20704     0.134116 
3935.00      8.26284     0.134098 
3936.00      8.36813     0.133432 
3937.00      8.25494     0.133506 
3938.00      8.47726     0.132955 
3939.00      8.53414     0.132929 
3940.00      8.72990     0.132485 
3941.00      8.54453     0.132219 
3942.00      8.47505     0.132064 
3943.00      8.67308     0.131529 
3944.00      8.77135     0.131162 
3945.00      8.89287     0.130931 
3946.00      8.98244     0.130346 
3947.00      8.72246     0.130042 
3948.00      8.56379     0.129296 
3949.00      8.44069     0.129055 
