#
# Nicastro et al. 2018 RGS1 Spectrum
#
# Column1: wavelength (angstrom), column2: err_wavelength
# Column3: flux (Jansky), column4: err_flux
# Column 5: Best-fit model, 6: continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           continuum
1.037000079999999969e+01        1.000039649999999967e-02        2.689618899999999999e-06        1.043868350000000039e-07        2.625805339999999804e-06        2.625805339999999804e-06
1.039000030000000052e+01        9.999565780000000542e-03        2.608499930000000055e-06        1.017624950000000039e-07        2.633234999999999955e-06        2.633234999999999955e-06
1.041000080000000061e+01        1.000059019999999937e-02        2.613799099999999984e-06        1.011999660000000020e-07        2.640665800000000006e-06        2.640665800000000006e-06
1.043000029999999967e+01        9.999307799999999219e-03        2.748796080000000018e-06        1.028995270000000063e-07        2.648097730000000132e-06        2.648097730000000132e-06
1.045500089999999993e+01        1.500051839999999928e-02        2.850892769999999917e-06        9.315758830000000553e-08        2.657387310000000090e-06        2.657387310000000090e-06
1.048500059999999934e+01        1.499952470000000086e-02        2.787470520000000204e-06        1.003878010000000047e-07        2.668968139999999820e-06        2.668968139999999820e-06
1.052500060000000026e+01        2.500028160000000027e-02        2.703556669999999988e-06        1.008129899999999943e-07        2.683855659999999926e-06        2.683855659999999926e-06
1.211500170000000054e+01        1.565000530000000056e+00        3.545243770000000124e-06        2.410843079999999956e-07        3.230449690000000065e-06        3.242256529999999930e-06
1.370500089999999993e+01        2.499901129999999860e-02        3.469291869999999913e-06        1.791126610000000116e-07        3.855690920000000298e-06        3.855690920000000298e-06
1.375000000000000000e+01        2.000044470000000157e-02        3.918868520000000023e-06        1.332590359999999873e-07        3.871381519999999778e-06        3.871381519999999778e-06
1.378500080000000061e+01        1.500030230000000062e-02        3.851844669999999741e-06        1.271489650000000013e-07        3.883531919999999918e-06        3.883531919999999918e-06
1.381000140000000087e+01        9.999685919999999270e-03        3.780884299999999887e-06        1.408623259999999990e-07        3.892564110000000261e-06        3.892564110000000261e-06
1.383000089999999993e+01        1.000016559999999943e-02        3.873646619999999771e-06        1.346286350000000068e-07        3.899575860000000000e-06        3.899575860000000000e-06
1.385000040000000077e+01        9.999599309999999269e-03        3.779143979999999823e-06        1.342800720000000051e-07        3.906494839999999699e-06        3.906494839999999699e-06
1.387000079999999969e+01        1.000029220000000010e-02        3.832767560000000025e-06        1.341576880000000091e-07        3.913407450000000221e-06        3.913407450000000221e-06
1.389000030000000052e+01        9.999937380000000625e-03        3.878853480000000059e-06        1.352512130000000030e-07        3.920314609999999819e-06        3.920314609999999819e-06
1.391000080000000061e+01        9.999919680000000227e-03        4.197396719999999787e-06        1.406140060000000129e-07        3.927215400000000238e-06        3.927215400000000238e-06
1.393000029999999967e+01        1.000024470000000082e-02        3.879829819999999858e-06        1.347819989999999919e-07        3.934496820000000092e-06        3.934496820000000092e-06
1.395000079999999976e+01        9.999979290000000562e-03        3.988942810000000118e-06        1.364094119999999997e-07        3.941448990000000121e-06        3.941448990000000121e-06
1.397000030000000059e+01        9.999588130000000574e-03        4.052747039999999715e-06        1.385854490000000073e-07        3.948330690000000113e-06        3.948330690000000113e-06
1.398999979999999965e+01        1.000001189999999950e-02        4.073378479999999691e-06        1.366649229999999985e-07        3.955206469999999806e-06        3.955206469999999806e-06
1.401000020000000035e+01        9.999844250000000656e-03        3.788807589999999838e-06        1.347583380000000033e-07        3.962075880000000321e-06        3.962075880000000321e-06
1.402999969999999941e+01        1.000002590000000080e-02        4.135662949999999706e-06        1.392705829999999996e-07        3.968938929999999787e-06        3.968938929999999787e-06
1.405000019999999950e+01        1.000008730000000005e-02        4.062973860000000362e-06        1.397896770000000026e-07        3.976203969999999938e-06        3.976203969999999938e-06
1.407000060000000019e+01        1.000050270000000033e-02        4.115992399999999600e-06        1.390074830000000004e-07        3.983096120000000357e-06        3.983096120000000357e-06
1.409000020000000042e+01        9.999367409999999554e-03        3.993047360000000414e-06        1.388432619999999921e-07        3.989940070000000418e-06        3.989940070000000418e-06
1.411000059999999934e+01        1.000049620000000028e-02        3.882751120000000049e-06        1.357376649999999967e-07        3.996777199999999881e-06        3.996777199999999881e-06
1.413000109999999943e+01        1.000007150000000074e-02        4.177855769999999701e-06        1.401412669999999998e-07        4.003608409999999892e-06        4.003608409999999892e-06
1.415000060000000026e+01        9.999523870000000605e-03        4.034757690000000361e-06        1.378187310000000017e-07        4.011026700000000091e-06        4.011026700000000091e-06
1.417000099999999918e+01        1.000078299999999920e-02        3.941199789999999934e-06        1.385391930000000059e-07        4.020277170000000267e-06        4.020277170000000267e-06
1.419000149999999927e+01        9.999509900000000048e-03        3.680873310000000153e-06        1.351443899999999943e-07        4.027124310000000254e-06        4.027124310000000254e-06
1.421000100000000010e+01        1.000005099999999938e-02        4.155291209999999930e-06        1.413735480000000073e-07        4.033940059999999664e-06        4.033940059999999664e-06
1.423000049999999916e+01        9.999502449999999459e-03        3.909845869999999982e-06        1.393178910000000055e-07        4.040749449999999721e-06        4.040749449999999721e-06
1.425000000000000000e+01        1.000078490000000028e-02        3.830563399999999592e-06        1.372614090000000020e-07        4.047264610000000356e-06        4.047264610000000356e-06
1.427000050000000009e+01        9.999508969999999428e-03        3.928443680000000423e-06        1.387223850000000099e-07        4.051016730000000176e-06        4.051016730000000176e-06
1.429000090000000078e+01        1.000056139999999996e-02        3.968410059999999633e-06        1.391512679999999925e-07        3.984266189999999661e-06        3.984266189999999661e-06
1.431000140000000087e+01        9.999533180000000701e-03        4.062900640000000302e-06        1.393778179999999940e-07        4.030714079999999626e-06        4.030714079999999626e-06
1.433000089999999993e+01        1.000035550000000044e-02        4.089652980000000106e-06        1.428452799999999896e-07        4.131305560000000418e-06        4.131305560000000418e-06
1.435000040000000077e+01        9.999580679999999985e-03        4.165988680000000026e-06        1.443136599999999886e-07        4.139308199999999584e-06        4.139308199999999584e-06
1.437000079999999969e+01        1.000067030000000023e-02        4.291443930000000014e-06        1.583809849999999925e-07        4.146327230000000320e-06        4.146327230000000320e-06
1.439000030000000052e+01        9.999159719999999377e-03        4.159233870000000176e-06        1.588129239999999964e-07        4.153364900000000062e-06        4.153364900000000062e-06
1.441000080000000061e+01        1.000051950000000085e-02        4.146057560000000205e-06        1.560434700000000007e-07        4.160805469999999767e-06        4.160805469999999767e-06
1.443500039999999984e+01        1.499977520000000085e-02        3.919489699999999818e-06        1.363119819999999975e-07        4.169552079999999668e-06        4.169552079999999668e-06
1.446500020000000042e+01        1.499982180000000026e-02        4.249148789999999854e-06        1.367569519999999962e-07        4.183817050000000302e-06        4.183817050000000302e-06
1.448999979999999965e+01        9.999827479999999144e-03        4.504541269999999810e-06        1.705920600000000024e-07        4.199211160000000210e-06        4.199211160000000210e-06
1.451500030000000052e+01        1.500038710000000004e-02        4.152842390000000108e-06        1.348063709999999921e-07        4.208157859999999818e-06        4.208157859999999818e-06
1.454000090000000078e+01        1.000035649999999991e-02        3.935332640000000069e-06        1.457210739999999889e-07        4.217187319999999787e-06        4.217187319999999787e-06
1.456000140000000087e+01        9.999860080000000720e-03        3.923990330000000324e-06        1.420623480000000102e-07        4.224181790000000369e-06        4.224181790000000369e-06
1.458000089999999993e+01        9.999757629999999828e-03        4.167347920000000082e-06        1.481576250000000118e-07        4.231169440000000353e-06        4.231169440000000353e-06
1.460000040000000077e+01        1.000005470000000021e-02        4.229220389999999735e-06        1.480086100000000002e-07        4.238151179999999863e-06        4.238151179999999863e-06
1.462000079999999969e+01        1.000024099999999999e-02        4.400271339999999833e-06        1.512310770000000008e-07        4.245126550000000194e-06        4.245126550000000194e-06
1.464000129999999977e+01        9.999800470000000385e-03        4.106253529999999748e-06        1.447259020000000102e-07        4.252395229999999996e-06        4.252395229999999996e-06
1.466000080000000061e+01        1.000027730000000066e-02        3.873434250000000412e-06        1.411054309999999937e-07        4.259516570000000225e-06        4.259516570000000225e-06
1.468000130000000070e+01        9.999609549999999986e-03        4.266697029999999765e-06        1.487973409999999984e-07        4.266471479999999606e-06        4.266471479999999606e-06
1.470000079999999976e+01        9.999864730000000354e-03        4.406240809999999862e-06        1.499499550000000115e-07        4.273419560000000257e-06        4.273419560000000257e-06
1.472000030000000059e+01        1.000001000000000015e-02        4.298700789999999715e-06        1.485429519999999934e-07        4.280361740000000258e-06        4.280361740000000258e-06
1.474000069999999951e+01        1.000004539999999921e-02        4.286118379999999684e-06        1.469283570000000018e-07        4.287297089999999836e-06        4.287297089999999836e-06
1.476000020000000035e+01        9.999970909999999352e-03        4.311022169999999632e-06        1.481754029999999945e-07        4.294547580000000358e-06        4.294547580000000358e-06
1.478000070000000044e+01        1.000030990000000050e-02        4.364902910000000097e-06        1.486081939999999920e-07        4.301605259999999630e-06        4.301605259999999630e-06
1.480000019999999950e+01        9.999487550000000016e-03        4.392865779999999860e-06        1.484349779999999917e-07        4.308520149999999952e-06        4.308520149999999952e-06
1.481999970000000033e+01        1.000013389999999947e-02        4.241027000000000247e-06        1.464077289999999928e-07        4.315427760000000124e-06        4.315427760000000124e-06
1.484000020000000042e+01        1.000014599999999969e-02        4.399892990000000199e-06        1.477955040000000094e-07        4.322329459999999821e-06        4.322329459999999821e-06
1.486000059999999934e+01        1.000004910000000004e-02        4.177411939999999708e-06        1.465957809999999976e-07        4.329224339999999766e-06        4.329224339999999766e-06
1.488000109999999943e+01        1.000037510000000018e-02        4.164358419999999829e-06        1.464936050000000111e-07        4.336455730000000036e-06        4.336455730000000036e-06
1.490000060000000026e+01        9.999525730000000112e-03        4.233916569999999996e-06        1.475902419999999912e-07        4.343449750000000045e-06        4.343449750000000045e-06
1.492000099999999918e+01        1.000016830000000079e-02        4.249069660000000167e-06        1.491542460000000057e-07        4.350323249999999938e-06        4.350323249999999938e-06
