#
# QSO damped Ly-alpha (DLA) System
# Background QSO J021741.8-370100 (z_em=2.910)
# DLA redshift: z_abs=2.429
#
# Source: ESO UVES Database
# Table : spectrum_qso_34.424-37.017.tbl
#
wave      flux_norm     model
4003.082  1.08159e+00   9.9240508907471725e-01
4003.109  9.61124e-01   9.9240261036627309e-01
4003.136  9.12599e-01   9.9240013044501618e-01
4003.164  1.00801e+00   9.9239764931048846e-01
4003.191  1.08899e+00   9.9239516696189989e-01
4003.218  1.10776e+00   9.9239268339812714e-01
4003.245  1.08572e+00   9.9239019861777622e-01
4003.272  1.04296e+00   9.9238771262994852e-01
4003.299  1.02186e+00   9.9238522541184770e-01
4003.326  1.00302e+00   9.9238273697538859e-01
4003.353  9.89119e-01   9.9238024733217456e-01
4003.380  1.05423e+00   9.9237775646901272e-01
4003.407  1.10636e+00   9.9237526437239920e-01
4003.435  1.09724e+00   9.9237277106354138e-01
4003.462  1.05831e+00   9.9237027653174792e-01
4003.489  9.50054e-01   9.9236778077682275e-01
4003.516  9.01140e-01   9.9236528379830113e-01
4003.543  1.02266e+00   9.9236278559538338e-01
4003.570  1.03048e+00   9.9236028616693794e-01
4003.597  1.05002e+00   9.9235778551156262e-01
4003.624  1.06202e+00   9.9235528363835002e-01
4003.651  9.92202e-01   9.9235278052449638e-01
4003.678  9.73581e-01   9.9235027618190730e-01
4003.705  9.86792e-01   9.9234777062217683e-01
4003.733  1.04133e+00   9.9234526383210486e-01
4003.760  1.09612e+00   9.9234275579817888e-01
4003.787  1.07477e+00   9.9234024654159703e-01
4003.814  1.00321e+00   9.9233773605166042e-01
4003.841  9.04503e-01   9.9233522432816423e-01
4003.868  9.09491e-01   9.9233271137063506e-01
4003.895  9.12616e-01   9.9233019717826443e-01
4003.922  1.00817e+00   9.9232768174991270e-01
4003.949  1.12812e+00   9.9232516508416913e-01
4003.976  1.03385e+00   9.9232264719011709e-01
4004.004  1.01984e+00   9.9232012804494507e-01
4004.031  1.13567e+00   9.9231760766055044e-01
4004.058  1.14525e+00   9.9231508604851748e-01
4004.085  9.32555e-01   9.9231256319563810e-01
4004.112  8.68668e-01   9.9231003908839188e-01
4004.139  8.83954e-01   9.9230751374796755e-01
4004.166  8.35205e-01   9.9230498716365745e-01
4004.193  8.91056e-01   9.9230245933524863e-01
4004.220  9.95401e-01   9.9229993026225871e-01
4004.247  1.05528e+00   9.9229739994387145e-01
4004.275  1.13690e+00   9.9229486837893754e-01
4004.302  1.08871e+00   9.9229233556603780e-01
4004.329  9.75325e-01   9.9228980151424750e-01
4004.356  9.95238e-01   9.9228726620074603e-01
4004.383  1.05173e+00   9.9228472963742220e-01
4004.410  1.01806e+00   9.9228219183585165e-01
4004.437  9.81803e-01   9.9227965278281693e-01
4004.464  9.83749e-01   9.9227711246479045e-01
4004.491  9.78972e-01   9.9227457090295101e-01
4004.518  9.78286e-01   9.9227202808658233e-01
4004.545  1.00847e+00   9.9226948401546333e-01
4004.573  1.05325e+00   9.9226693868910221e-01
4004.600  1.04593e+00   9.9226439210667461e-01
4004.627  1.00202e+00   9.9226184426702213e-01
4004.654  1.04421e+00   9.9225929516871669e-01
4004.681  1.06230e+00   9.9225674482082482e-01
4004.708  1.08525e+00   9.9225419320051855e-01
4004.735  1.13624e+00   9.9225164031967605e-01
4004.762  1.11801e+00   9.9224908618986418e-01
4004.789  1.05859e+00   9.9224653079785807e-01
4004.816  1.00226e+00   9.9224397413012033e-01
4004.844  1.02577e+00   9.9224141620782080e-01
4004.871  1.04419e+00   9.9223885702023518e-01
4004.898  9.71531e-01   9.9223629656713308e-01
4004.925  9.57085e-01   9.9223373484801436e-01
4004.952  1.04783e+00   9.9223117186204468e-01
4004.979  1.05128e+00   9.9222860760805798e-01
4005.006  1.02878e+00   9.9222604208461695e-01
4005.033  1.01950e+00   9.9222347530077859e-01
4005.060  1.00424e+00   9.9222090723370659e-01
4005.087  1.06491e+00   9.9221833789527070e-01
4005.115  1.09176e+00   9.9221576729702787e-01
4005.142  1.11296e+00   9.9221319542574504e-01
4005.169  1.05239e+00   9.9221062226787604e-01
4005.196  9.62584e-01   9.9220804784458128e-01
4005.223  9.28003e-01   9.9220547214512755e-01
4005.250  9.82626e-01   9.9220289516927629e-01
4005.277  1.11341e+00   9.9220031691651678e-01
4005.304  1.13253e+00   9.9219773738600736e-01
4005.331  1.05439e+00   9.9219515657657209e-01
4005.358  1.00575e+00   9.9219257448676523e-01
4005.385  9.83646e-01   9.9218999112563389e-01
4005.413  1.01231e+00   9.9218740647033421e-01
4005.440  9.61985e-01   9.9218482053272872e-01
4005.467  9.50589e-01   9.9218223332441280e-01
4005.494  1.02943e+00   9.9217964483247922e-01
4005.521  1.06536e+00   9.9217705504397535e-01
4005.548  1.11065e+00   9.9217446397015774e-01
4005.575  1.13424e+00   9.9217187162223530e-01
4005.602  1.06339e+00   9.9216927798691612e-01
4005.629  9.83815e-01   9.9216668305063749e-01
4005.656  1.02836e+00   9.9216408683449975e-01
4005.684  1.05141e+00   9.9216148932742210e-01
4005.711  1.00281e+00   9.9215889052855299e-01
4005.738  9.69912e-01   9.9215629044726472e-01
4005.765  9.03504e-01   9.9215368906075263e-01
4005.792  9.00917e-01   9.9215108638087168e-01
4005.819  9.54026e-01   9.9214848241920861e-01
4005.846  9.66540e-01   9.9214587716284686e-01
4005.873  1.00756e+00   9.9214327059882645e-01
4005.900  1.05261e+00   9.9214066273839219e-01
4005.927  1.07379e+00   9.9213805359274521e-01
4005.955  1.06826e+00   9.9213544314858315e-01
4005.982  1.01777e+00   9.9213283139233932e-01
4006.009  9.96238e-01   9.9213021834514958e-01
4006.036  9.99986e-01   9.9212760399626165e-01
4006.063  1.00312e+00   9.9212498834541440e-01
4006.090  9.83330e-01   9.9212237139207737e-01
4006.117  9.99029e-01   9.9211975313538769e-01
4006.144  1.10093e+00   9.9211713357414699e-01
4006.171  1.15962e+00   9.9211451270688988e-01
4006.198  1.05978e+00   9.9211189054264037e-01
4006.225  1.00194e+00   9.9210926705853564e-01
4006.253  1.00827e+00   9.9210664226641343e-01
4006.280  1.04941e+00   9.9210401617779920e-01
4006.307  9.86604e-01   9.9210138877943033e-01
4006.334  9.64020e-01   9.9209876005773245e-01
4006.361  1.04535e+00   9.9209613003383246e-01
4006.388  1.10814e+00   9.9209349869696861e-01
4006.415  1.03221e+00   9.9209086604687136e-01
4006.442  1.00583e+00   9.9208823208300012e-01
4006.469  1.10065e+00   9.9208559680448205e-01
4006.496  1.14100e+00   9.9208296021011066e-01
4006.524  1.06706e+00   9.9208032229841026e-01
4006.551  1.03956e+00   9.9207768307839606e-01
4006.578  1.00011e+00   9.9207504252719636e-01
4006.605  1.00638e+00   9.9207240065663815e-01
4006.632  1.05023e+00   9.9206975747823756e-01
4006.659  9.99043e-01   9.9206711297872363e-01
4006.686  9.78757e-01   9.9206446714451235e-01
4006.713  1.01936e+00   9.9206181999672105e-01
4006.740  1.04259e+00   9.9205917152457779e-01
4006.767  1.02726e+00   9.9205652172780423e-01
4006.794  1.09369e+00   9.9205387060584993e-01
4006.822  1.13512e+00   9.9205121815783359e-01
4006.849  1.01775e+00   9.9204856438253819e-01
4006.876  9.00648e-01   9.9204590927847924e-01
4006.903  1.02408e+00   9.9204325285466188e-01
4006.930  1.05515e+00   9.9204059508820486e-01
4006.957  9.70854e-01   9.9203793599092649e-01
4006.984  8.88652e-01   9.9203527557433258e-01
4007.011  9.16014e-01   9.9203261382514230e-01
4007.038  1.05556e+00   9.9202995072976363e-01
4007.065  1.15337e+00   9.9202728630930226e-01
4007.093  1.18662e+00   9.9202462055297858e-01
4007.120  1.08255e+00   9.9202195346050348e-01
