#
# Q1422+2307 (z=3.62) - spectrum from William Keel, Univ. of Alabama
#
# lam is restframe (emitted) wavelength in Angstroms
# flux is arbitrary units
#
 lam            flux
 886.6120       46893.41
 886.7130       52284.98
 886.8140       64633.44
 886.9150       67969.98
 887.0160       66743.38
 887.1170       49076.58
 887.2180       21221.62
 887.3190       22681.65
 887.4200       27112.08
 887.5210       27876.42
 887.6220       48275.62
 887.7230        49447.3
 887.8240       33341.23
 887.9250       16241.96
 888.0260       7280.408
 888.1270       1934.599
 888.2280       5939.379
 888.3290       24205.75
 888.4300       36975.28
 888.5310       25679.51
 888.6320       6104.147
 888.7330       9372.047
 888.8340       32723.35
 888.9350       37968.46
 889.0360       43849.77
 889.1370       51932.56
 889.2380       55086.04
 889.3390        44261.7
 889.4400       18978.94
 889.5410       378.4555
 889.6420        236.572
 889.7430      -1269.225
 889.8440       2973.553
 889.9450       1563.871
 890.0460       2840.823
 890.1470       28695.68
 890.2480       14241.86
 890.3490       1692.023
 890.4500       4433.581
 890.5510       11001.42
 890.6520       11422.49
 890.7530       12891.68
 890.8540       1875.099
 890.9550       19139.13
 891.0560       28050.34
 891.1570       42014.44
 891.2580       60752.23
 891.3590       66052.27
 891.4600       66400.12
 891.5610       64262.71
 891.6620       66638.11
 891.7630       63310.71
 891.8640       51044.64
 891.9650       21038.54
 892.0660       4905.002
 892.1670       12662.83
 892.2680       35570.17
 892.3690       25414.05
 892.4700       895.6443
 892.5710       3715.009
 892.6720       39808.37
 892.7730       48289.36
 892.8740       49969.07
 892.9750       48943.85
 893.0760       41570.48
 893.1770       38668.73
 893.2780        48042.2
 893.3790       59104.55
 893.4800        54916.7
 893.5810        36238.4
 893.6820       16237.38
 893.7830       4753.964
 893.8840       5664.766
 893.9850       33062.04
 894.0860       56628.45
 894.1870       58907.74
 894.2880       33908.76
 894.3890       23954.02
 894.4900       48202.39
 894.5910       65123.16
 894.6920       67535.19
 894.7930       63338.17
 894.8940       48129.16
 894.9950       43657.54
