#
# HST STIS spectrum of 3C273 (z=0.158) from William Keel, Univ of Alabama
#
# lam is observed wavelengths in Angstroms
# flux is arbitrary units
#
lam          flux
1151.3458    0.37441
1151.3583    0.37441
1151.3708    0.37901
1151.3833    0.37901
1151.3958    0.36416
1151.4083    0.36416
1151.4208    0.37901
1151.4332    0.37901
1151.4457    0.42335
1151.4583    0.39229
1151.4707    0.42335
1151.4832    0.42335
1151.4957    0.40574
1151.5082    0.39229
1151.5206    0.40574
1151.5332    0.40574
1151.5457    0.40574
1151.5581    0.40574
1151.5707    0.40574
1151.5831    0.40574
1151.5956    0.44669
1151.6080    0.40574
1151.6206    0.40574
1151.6331    0.40362
1151.6455    0.40362
1151.6581    0.40362
1151.6705    0.40362
1151.6830    0.40362
1151.6956    0.37897
1151.7080    0.40362
1151.7205    0.40362
1151.7330    0.40362
1151.7455    0.37897
1151.7579    0.40890
1151.7705    0.40890
1151.7830    0.40890
1151.7954    0.40890
1151.8080    0.40890
1151.8204    0.36616
1151.8329    0.36616
1151.8455    0.36616
1151.8579    0.36402
1151.8704    0.36171
1151.8829    0.33727
1151.8954    0.33727
1151.9078    0.33727
1151.9204    0.28706
1151.9329    0.28706
1151.9453    0.33727
1151.9579    0.33727
1151.9703    0.34751
1151.9828    0.34751
1151.9954    0.40788
1152.0078    0.40788
1152.0203    0.40788
1152.0328    0.38664
1152.0453    0.38664
1152.0579    0.38664
1152.0703    0.40788
1152.0828    0.38664
1152.0953    0.37987
1152.1078    0.36811
1152.1202    0.36788
1152.1328    0.33941
1152.1453    0.33364
1152.1577    0.33364
1152.1703    0.33033
1152.1827    0.33364
1152.1953    0.33364
1152.2078    0.33033
1152.2202    0.31576
1152.2328    0.31576
1152.2452    0.31576
1152.2577    0.33033
1152.2703    0.33033
1152.2827    0.34909
1152.2953    0.36639
1152.3077    0.36639
1152.3202    0.34909
1152.3328    0.34909
1152.3452    0.36639
1152.3577    0.36639
1152.3702    0.36639
1152.3827    0.35340
1152.3953    0.34909
1152.4077    0.33770
1152.4202    0.33770
1152.4327    0.33770
1152.4452    0.33770
1152.4578    0.35340
1152.4702    0.36871
1152.4827    0.35340
1152.4952    0.36871
1152.5077    0.36871
1152.5203    0.37536
1152.5327    0.37536
1152.5452    0.39807
1152.5577    0.39807
1152.5702    0.37536
1152.5828    0.37536
1152.5952    0.36871
1152.6077    0.37345
1152.6202    0.37345
1152.6327    0.33232
1152.6453    0.33232
1152.6577    0.33232
1152.6702    0.33090
1152.6827    0.32959
1152.6952    0.31596
