#
# Keck ESI Spectrum of Quasar J1306+0356, z=6.016
#
# Source: Fan et al. 2001, AJ, 122, 2833
#         provided by the authors
#
# Wavelengths: 3901-10930 Angstroms
#
# wave - wavelength in Agnstroms
# flam - Flux in scaled F-lambda units
# sig - uncertainty on flam
wave          flam     sig
5489.93012661 0.00554704 0.0285839
5493.72923806 -0.0576946 0.0283028
5497.52834952 -0.0656199 0.0281251
5501.32746097 -0.0370933 0.0277546
5505.12657242 -0.0283513 0.0273722
5508.92568387 -0.0277425 0.0272062
5512.72479533 -0.0458781 0.0270725
5516.52390678 -0.0568483 0.0271033
5520.32301823 -0.0452275 0.0263385
5524.12212968 -0.0125591 0.0260968
5527.92124114 0.024845 0.0260798
5531.72035259 0.0259724 0.0260083
5535.51946404 0.0409364 0.0253596
5539.31857549 0.0381463 0.0252551
5543.11768695 -0.0130682 0.0258842
5546.9167984 -0.0184251 0.0261389
5550.71590985 -0.00559925 0.0256536
5554.5150213 -0.0226254 0.0250911
5558.31413275 -0.0320254 0.024838
5562.11324421 -0.00642784 0.0247309
5565.91235566 0.0068284 0.0246664
5569.71146711 -0.0316479 0.0251593
5573.51057856 -0.020773 0.0282538
5577.30969002 0.0360423 0.0290761
5581.10880147 -0.0213028 0.0285559
5584.90791292 -0.0553787 0.0250962
5588.70702437 -0.0436617 0.0238469
5592.50613583 -0.0401566 0.0235427
5596.30524728 -0.0382331 0.0232941
5600.10435873 -0.00477824 0.0239113
5603.90347018 0.0292006 0.0238028
5607.70258164 0.0134116 0.0236556
5611.50169309 -0.0106608 0.0233112
5615.30080454 -0.00883157 0.0234799
5619.09991599 0.00563626 0.0237413
5622.89902744 0.0132924 0.0233239
5626.6981389 -0.00606116 0.0230954
5630.49725035 -0.0234605 0.0229526
5634.2963618 -0.014254 0.0231181
5638.09547325 -0.0108587 0.0229703
5641.89458471 -0.0246146 0.0226544
5645.69369616 -0.0308506 0.0225938
5649.49280761 0.00191702 0.0225703
5653.29191906 0.0329186 0.022681
5657.09103052 0.014261 0.0225574
5660.89014197 -0.00917475 0.0230532
5664.68925342 -0.0173503 0.0233159
5668.48836487 -0.0292149 0.0233317
5672.28747633 -0.0375949 0.023444
5676.08658778 -0.0347118 0.0234401
5679.88569923 -0.0354219 0.0235103
5683.68481068 -0.0298608 0.0234997
5687.48392213 0.0201016 0.023483
5691.28303359 0.0668108 0.0237057
5695.08214504 0.0569348 0.0238122
5698.88125649 0.0295647 0.0239985
5702.68036794 0.00532221 0.0240414
5706.4794794 0.000783083 0.0237788
5710.27859085 0.0139908 0.0236669
5714.0777023 0.0023442 0.0236971
5717.87681375 -0.00421712 0.0237895
5721.67592521 -0.00408008 0.0240071
5725.47503666 -0.00417726 0.0244699
5729.27414811 0.0329875 0.0247872
5733.07325956 0.0240315 0.0249932
5736.87237102 -0.0231571 0.0246464
5740.67148247 -0.0130953 0.02492
5744.47059392 0.0129406 0.0248675
5748.26970537 0.0054337 0.0252193
5752.06881682 -0.00478337 0.024813
5755.86792828 0.00310409 0.0251441
5759.66703973 0.00604495 0.0251091
5763.46615118 0.0100096 0.0253535
5767.26526263 -0.00312672 0.0255373
5771.06437409 -0.0591669 0.0255751
5774.86348554 -0.0844863 0.0253339
5778.66259699 -0.0538928 0.025101
5782.46170844 -0.0176415 0.0254046
5786.2608199 0.0103426 0.0256075
5790.05993135 0.0145207 0.025718
5793.8590428 -0.0118446 0.0259237
5797.65815425 -0.0245869 0.0265264
5801.4572657 -0.0127103 0.0262507
5805.25637716 -0.0614479 0.0250663
5809.05548861 -0.123216 0.0249406
5812.85460006 -0.0788086 0.0253453
5816.65371151 -0.000780238 0.0267846
5820.45282297 0.00247466 0.0270779
5824.25193442 0.00741405 0.0275861
5828.05104587 0.00444237 0.0274256
5831.85015732 -0.0643591 0.0273721
5835.64926878 -0.0894257 0.0276183
5839.44838023 -0.0126492 0.0278086
5843.24749168 0.0193543 0.0282211
5847.04660313 0.00805235 0.028248
5850.84571459 -0.0160049 0.0282068
5854.64482604 -0.0601805 0.0277591
5858.44393749 -0.0525054 0.0276192
5862.24304894 -0.0163688 0.0290593
5866.04216039 -0.0262491 0.0294631
5869.84127185 -0.0556706 0.0295942
5873.6403833 -0.0503697 0.0284443
5877.43949475 -0.0274426 0.0283212
5881.2386062 -0.000539673 0.0279859
5885.03771766 0.0144191 0.0305357
5888.83682911 -0.00447424 0.0306307
5892.63594056 -0.0168559 0.0335225
5896.43505201 -0.0236855 0.0299453
5900.23416347 -0.0446323 0.0293679
5904.03327492 -0.030701 0.0278636
