#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 917  45.53680  43.31628  41.20316  37.28539  27.66026 
 918  45.37070  43.15785  41.05241  37.14970  27.55975 
 919  45.20398  42.99884  40.90110  37.01351  27.45851 
 920  45.03665  42.83923  40.74923  36.87547  27.35653 
 921  44.86981  42.68138  40.59926  36.73962  27.25637 
 922  44.70235  42.52176  40.44750  36.60191  27.15401 
 923  44.53426  42.36272  40.29516  36.46505  27.05199 
 924  44.36665  42.20308  40.14349  36.32767  26.95051 
 925  44.20068  42.04522  39.99375  36.19254  26.85088 
 926  44.03294  41.88556  39.84219  36.05413  26.74883 
 927  43.86684  41.72769  39.69131  35.91796  26.64845 
 928  43.70126  41.56922  39.54112  35.78268  26.54826 
 929  43.53389  41.41135  39.39035  35.64688  26.44712 
 930  43.36934  41.25409  39.24156  35.51056  26.34768 
 931  43.20301  41.09623  39.09092  35.37513  26.24690 
 932  43.03836  40.93898  38.94226  35.24060  26.14785 
 933  42.87423  40.78358  38.79304  35.10698  26.04880 
 934  42.71066  40.62757  38.64583  34.97285  25.95014 
 935  42.54644  40.47221  38.49805  34.83820  25.85130 
 936  42.38396  40.31749  38.35101  34.70591  25.75422 
 937  42.22203  40.16341  38.20340  34.57311  25.65560 
 938  42.06067  40.01000  38.05785  34.44125  25.55856 
 939  41.90107  39.85725  37.91306  34.31035  25.46291 
 940  41.74087  39.70516  37.76904  34.18040  25.36572 
 941  41.58125  39.55376  37.62446  34.04996  25.26994 
 942  41.42342  39.40305  37.48199  33.92049  25.17419 
 943  41.26742  39.25557  37.34033  33.79349  25.08107 
 944  41.11204  39.10754  37.20081  33.66601  24.98780 
 945  40.95729  38.96024  37.06076  33.53953  24.89438 
 946  40.80441  38.81495  36.92154  33.41407  24.80242 
 947  40.65095  38.66911  36.78451  33.28964  24.70992 
 948  40.49815  38.52402  36.64560  33.16323  24.61585 
 949  40.34848  38.38229  36.51027  33.04088  24.52591 
 950  40.20074  38.24003  36.37582  32.91960  24.43542 
 951  40.05371  38.09987  36.24224  32.79939  24.34646 
 952  39.90739  37.96182  36.11094  32.68027  24.25840 
 953  39.76305  37.82460  35.97916  32.56225  24.17002 
 954  39.62070  37.68819  35.85108  32.44380  24.08277 
 955  39.47784  37.55263  35.72114  32.32801  23.99521 
 956  39.33701  37.41925  35.59354  32.21180  23.90878 
 957  39.19949  37.28807  35.46970  32.09829  23.82499 
 958  39.06149  37.15643  35.34402  31.98593  23.73942 
 959  38.92814  37.02972  35.22357  31.87632  23.65798 
 960  38.79433  36.90258  35.10271  31.76633  23.57647 
 961  38.66264  36.77635  34.98285  31.65754  23.49447 
 962  38.53310  36.65379  34.86546  31.55075  23.41517 
 963  38.40573  36.53218  34.74910  31.44599  23.33710 
 964  38.27924  36.41154  34.63524  31.34294  23.26048 
 965  38.15495  36.29325  34.52246  31.24020  23.18340 
 966  38.03288  36.17734  34.41220  31.14033  23.10909 
 967  37.91174  36.06245  34.30306  31.04078  23.03454 
 968  37.79286  35.94857  34.19503  30.94301  22.96127 
 969  37.67758  35.83853  34.08959  30.84818  22.89083 
 970  37.56328  35.73094  33.98676  30.75500  22.82170 
 971  37.45130  35.62303  33.88510  30.66219  22.75236 
 972  37.34033  35.51760  33.78461  30.57123  22.68414 
 973  37.23170  35.41468  33.68531  30.48196  22.61725 
 974  37.12681  35.31430  33.59018  30.39572  22.55349 
 975  37.02296  35.21647  33.49776  30.31122  22.49089 
 976  36.92154  35.11980  33.40509  30.22846  22.42989 
 977  36.82255  35.02571  33.31666  30.14764  22.37007 
 978  36.72601  34.93279  33.22800  30.06726  22.30986 
 979  36.63195  34.84394  33.14363  29.99133  22.25444 
 980  36.53902  34.75629  33.06055  29.91588  22.19887 
 981  36.44997  34.67131  32.97878  29.84242  22.14453 
 982  36.36207  34.58757  32.89985  29.77062  22.09163 
 983  36.27809  34.50797  32.82377  29.70219  22.04178 
 984  36.19530  34.42819  32.74752  29.63427  21.99159 
 985  36.11509  34.35258  32.67721  29.56958  21.94470 
 986  36.03748  34.27827  32.60521  29.50559  21.89749 
 987  35.96109  34.20672  32.53767  29.44350  21.85154 
 988  35.88872  34.13795  32.47153  29.38469  21.80894 
 989  35.81899  34.07051  32.40833  29.32780  21.76764 
 990  35.75052  34.00735  32.34811  29.27303  21.72786 
 991  35.68613  33.94555  32.28932  29.22003  21.68940 
 992  35.62303  33.88510  32.23197  29.16916  21.65248 
 993  35.56121  33.82750  32.17763  29.11907  21.61527 
 994  35.50352  33.77277  32.12476  29.07232  21.58124 
 995  35.44996  33.72091  32.07647  29.02878  21.55041 
 996  35.39774  33.67195  32.02967  28.98603  21.51929 
 997  35.34685  33.62440  31.98437  28.94529  21.48977 
 998  35.30014  33.57827  31.94057  28.90675  21.46159 
 999  35.25479  33.53654  31.89984  28.87023  21.43502 
1000  35.21222  33.49627  31.86220  28.83574  21.40981 
1001  35.17243  33.45744  31.82609  28.80330  21.38621 
1002  35.13403  33.42155  31.79151  28.77186  21.36235 
1003  35.09986  33.38862  31.76004  28.74369  21.34174 
1004  35.06850  33.35866  31.73169  28.71777  21.32252 
1005  35.03998  33.33167  31.70647  28.69512  21.30704 
1006  35.01286  33.30616  31.68280  28.67351  21.29108 
1007  34.98857  33.28213  31.65912  28.65275  21.27534 
1008  34.96284  33.25808  31.63542  28.63023  21.25606 
1009  34.94281  33.23853  31.61756  28.61381  21.24359 
1010  34.92564  33.22198  31.60190  28.59965  21.23299 
1011  34.90845  33.20692  31.58750  28.58636  21.22239 
1012  34.89556  33.19488  31.57531  28.57534  21.21367 
1013  34.88553  33.18433  31.56581  28.56659  21.20684 
1014  34.87693  33.17680  31.55852  28.55994  21.20189 
1015  34.86976  33.16926  31.55139  28.55311  21.19552 
1016  34.86546  33.16625  31.54790  28.54978  21.19269 
1017  34.86546  33.16474  31.54679  28.54873  21.19198 
1018  34.86546  33.16474  31.54679  28.54873  21.19127 
1019  34.86689  33.16625  31.54822  28.54978  21.19104 
1020  34.87262  33.17077  31.55313  28.55433  21.19481 
1021  34.87980  33.17831  31.55931  28.55994  21.19859 
1022  34.88696  33.18584  31.56691  28.56659  21.20307 
1023  34.89843  33.19638  31.57673  28.57551  21.20943 
1024  34.91132  33.20844  31.58781  28.58549  21.21650 
1025  34.92420  33.22198  31.60032  28.59650  21.22381 
1026  34.94424  33.24004  31.61867  28.61381  21.23888 
1027  34.96284  33.25658  31.63542  28.62813  21.24900 
1028  34.98142  33.27612  31.65122  28.64367  21.25982 
1029  35.00286  33.29565  31.67175  28.66147  21.27275 
1030  35.02713  33.31816  31.69227  28.68031  21.28662 
1031  35.04854  33.33916  31.71277  28.69773  21.29742 
1032  35.07563  33.36465  31.73641  28.72020  21.31408 
1033  35.10413  33.39162  31.76161  28.74230  21.32979 
1034  35.13403  33.42155  31.78994  28.76821  21.34971 
1035  35.16533  33.44996  31.81823  28.79375  21.36867 
1036  35.19801  33.48134  31.84808  28.82048  21.38832 
1037  35.23209  33.51418  31.87946  28.84840  21.40864 
1038  35.26897  33.54847  31.91238  28.87854  21.43175 
1039  35.30722  33.58571  31.94683  28.91003  21.45554 
1040  35.34402  33.61993  31.97968  28.93994  21.47696 
1041  35.38502  33.65858  32.01718  28.97344  21.50256 
1042  35.42457  33.69718  32.05308  29.00690  21.52742 
1043  35.46688  33.73722  32.09206  29.04152  21.55319 
1044  35.51197  33.78017  32.13254  29.07851  21.58171 
1045  35.55559  33.82159  32.17142  29.11409  21.60787 
1046  35.60056  33.86444  32.21335  29.15219  21.63654 
1047  35.64828  33.91018  32.25678  29.19127  21.66656 
1048  35.69454  33.95438  32.29861  29.22910  21.69401 
1049  35.74353  34.00000  32.34192  29.26927  21.72441 
1050  35.79246  34.04702  32.38673  29.30938  21.75408 
1051  35.84271  34.09546  32.43147  29.35064  21.78509 
1052  35.89290  34.14381  32.47923  29.39303  21.81719 
1053  35.94440  34.19210  32.52384  29.43416  21.84720 
1054  35.99583  34.24033  32.57146  29.47643  21.87830 
1055  36.04719  34.28994  32.61748  29.51847  21.90913 
1056  36.09986  34.33948  32.66497  29.56197  21.94106 
1057  36.15384  34.39186  32.71391  29.60642  21.97453 
1058  36.21050  34.44561  32.76583  29.65350  22.01091 
1059  36.26569  34.49783  32.81615  29.69916  22.04518 
1060  36.32079  34.55141  32.86639  29.74475  22.07918 
1061  36.37719  34.60347  32.91656  29.79027  22.11312 
1062  36.43350  34.65833  32.96817  29.83689  22.14836 
1063  36.48835  34.71023  33.01666  29.88110  22.17995 
1064  36.54449  34.76348  33.06811  29.92775  22.21486 
1065  36.60191  34.81810  33.11948  29.97449  22.24949 
1066  36.65651  34.87119  33.17077  30.01983  22.28228 
1067  36.71512  34.92564  33.22349  30.06759  22.31838 
1068  36.77227  34.98000  33.27461  30.11412  22.35285 
1069  36.82798  35.03427  33.32566  30.16074  22.38705 
1070  36.88631  35.08846  33.37814  30.20844  22.42298 
1071  36.94184  35.14257  33.42903  30.25376  22.45573 
1072  36.99865  35.19659  33.47985  30.30033  22.49000 
1073  37.05671  35.25053  33.53357  30.34815  22.52621 
1074  37.11334  35.30439  33.58273  30.39342  22.55903 
1075  37.16988  35.35817  33.63480  30.43994  22.59358 
1076  37.22499  35.41186  33.68531  30.48541  22.62675 
1077  37.28136  35.46548  33.73574  30.53211  22.66186 
1078  37.33631  35.51760  33.78609  30.57630  22.69361 
1079  37.39117  35.56824  33.83489  30.62058  22.72576 
1080  37.44596  35.62162  33.88510  30.66627  22.75983 
1081  37.49933  35.67212  33.93229  30.70944  22.79079 
1082  37.55263  35.72254  33.98088  30.75272  22.82214 
1083  37.60585  35.77290  34.02940  30.79610  22.85388 
1084  37.65900  35.82318  34.07639  30.83958  22.88602 
1085  37.71074  35.87339  34.12331  30.88187  22.91681 
1086  37.76242  35.92214  34.17016  30.92426  22.94798 
1087  37.81402  35.97082  34.21696  30.96563  22.97825 
1088  37.86291  36.01805  34.26077  31.00581  23.00717 
1089  37.91306  36.06522  34.30598  31.04626  23.03671 
1090  37.96051  36.11094  34.34967  31.08553  23.06512 
1091  38.00921  36.15660  34.39331  31.12491  23.09394 
1092  38.05785  36.20221  34.43690  31.16440  23.12358 
1093  38.10381  36.24638  34.47753  31.20176  23.15059 
1094  38.14708  36.28774  34.51811  31.23684  23.17499 
1095  38.19293  36.33043  34.55865  31.27443  23.20323 
1096  38.23611  36.37169  34.59769  31.30974  23.22886 
1097  38.27793  36.41291  34.63668  31.34422  23.25382 
1098  38.32101  36.45271  34.67420  31.37865  23.27960 
1099  38.36144  36.49109  34.71167  31.41226  23.30429 
1100  38.40182  36.52944  34.74766  31.44487  23.32831 
1101  38.43956  36.56638  34.78218  31.47650  23.35166 
1102  38.47857  36.60328  34.81810  31.50936  23.37734 
1103  38.51493  36.63741  34.85111  31.53902  23.39915 
1104  38.55127  36.67152  34.88409  31.56881  23.42179 
1105  38.58497  36.70422  34.91418  31.59652  23.44206 
1106  38.61865  36.73690  34.94567  31.62436  23.46338 
1107  38.65100  36.76683  34.97427  31.65122  23.48361 
1108  38.68204  36.79674  35.00286  31.67649  23.50340 
1109  38.71175  36.82526  35.02999  31.70173  23.52084 
1110  38.74016  36.85241  35.05567  31.72538  23.53912 
1111  38.76725  36.87818  35.07991  31.74744  23.55525 
1112  38.79562  36.90393  35.10556  31.76948  23.57371 
1113  38.82010  36.92831  35.12692  31.78994  23.58834 
1114  38.84328  36.94997  35.14826  31.80880  23.60233 
1115  38.86515  36.97161  35.16959  31.82923  23.61716 
1116  38.88702  36.99324  35.18949  31.84651  23.63133 
1117  38.90759  37.01216  35.20795  31.86220  23.64339 
1118  38.92557  37.02972  35.22357  31.87789  23.65481 
1119  38.94355  37.04727  35.24060  31.89357  23.66685 
1120  38.96024  37.06211  35.25621  31.90768  23.67699 
1121  38.97563  37.07695  35.26897  31.91865  23.68628 
1122  38.98846  37.08908  35.28172  31.93118  23.69515 
1123  39.00128  37.10121  35.29164  31.94057  23.70169 
1124  39.01154  37.11199  35.30297  31.94996  23.70907 
1125  39.02179  37.12008  35.31147  31.95778  23.71434 
1126  39.02948  37.12815  35.31855  31.96404  23.71898 
1127  39.03588  37.13489  35.32421  31.96873  23.72298 
1128  39.04229  37.14027  35.32987  31.97343  23.72657 
1129  39.04613  37.14431  35.33412  31.97812  23.72931 
1130  39.04741  37.14566  35.33412  31.97812  23.72846 
1131  39.04997  37.14701  35.33695  31.97968  23.73015 
1132  39.04997  37.14701  35.33695  31.97968  23.72973 
1133  39.04741  37.14431  35.33412  31.97812  23.72699 
1134  39.04485  37.14297  35.33129  31.97499  23.72530 
1135  39.03972  37.13758  35.32704  31.97186  23.72151 
1136  39.03460  37.13220  35.32138  31.96561  23.71708 
1137  39.02691  37.12547  35.31572  31.96091  23.71223 
1138  39.01923  37.11738  35.30722  31.95309  23.70654 
1139  39.00897  37.10795  35.29873  31.94526  23.70042 
1140  38.99744  37.09717  35.28881  31.93587  23.69240 
1141  38.98461  37.08369  35.27605  31.92491  23.68354 
1142  38.97050  37.07020  35.26329  31.91238  23.67425 
1143  38.95510  37.05536  35.24912  31.89984  23.66432 
1144  38.93584  37.03782  35.23209  31.88260  23.65079 
1145  38.91786  37.02026  35.21505  31.86848  23.63980 
1146  38.89730  37.00135  35.19659  31.85122  23.62668 
1147  38.87544  36.98108  35.17670  31.83394  23.61313 
1148  38.85228  36.95808  35.15537  31.81352  23.59746 
1149  38.82782  36.93508  35.13403  31.79465  23.58283 
1150  38.80206  36.91070  35.10983  31.77263  23.56608 
1151  38.77499  36.88496  35.08561  31.75059  23.55037 
1152  38.74532  36.85648  35.05852  31.72538  23.53083 
1153  38.71563  36.82798  35.03284  31.70173  23.51404 
1154  38.68462  36.79810  35.00429  31.67649  23.49511 
1155  38.65230  36.76683  34.97427  31.64964  23.47552 
1156  38.61736  36.73418  34.94281  31.62088  23.45378 
1157  38.57979  36.70014  34.90988  31.59098  23.43139 
1158  38.54348  36.66470  34.87693  31.56137  23.40983 
1159  38.50584  36.62922  34.84250  31.53062  23.38782 
1160  38.46427  36.58961  34.80517  31.49651  23.36172 
1161  38.42395  36.55133  34.76780  31.46379  23.33817 
1162  38.38099  36.51027  34.73039  31.42881  23.31223 
1163  38.33667  36.46779  34.69006  31.39267  23.28562 
1164  38.29230  36.42664  34.64967  31.35682  23.25984 
1165  38.24657  36.38131  34.60780  31.31868  23.23166 
1166  38.19686  36.33593  34.56298  31.27827  23.20108 
1167  38.14840  36.28912  34.51956  31.23924  23.17283 
1168  38.09856  36.24086  34.47463  31.19776  23.14217 
1169  38.04734  36.19254  34.42819  31.15654  23.11233 
1170  37.99474  36.14416  34.38168  31.11415  23.08138 
1171  37.94074  36.09155  34.33220  31.06944  23.04799 
1172  37.88535  36.03887  34.28265  31.02467  23.01543 
1173  37.82988  35.98611  34.23156  30.97886  22.98173 
1174  37.77301  35.93188  34.18040  30.93202  22.94711 
1175  37.71339  35.87617  34.12624  30.88398  22.91157 
1176  37.65236  35.81759  34.07051  30.83359  22.87335 
1177  37.59255  35.76031  34.01617  30.78425  22.83725 
1178  37.52999  35.70014  33.96027  30.73272  22.79869 
1179  37.46732  35.64127  33.90428  30.68241  22.76203 
1180  37.40321  35.58089  33.84524  30.62956  22.72290 
1181  37.33899  35.51901  33.78757  30.57679  22.68414 
1182  37.27197  35.45560  33.72684  30.52163  22.64266 
1183  37.20350  35.39068  33.66601  30.46638  22.60155 
1184  37.13489  35.32563  33.60357  30.40987  22.55926 
1185  37.06616  35.26046  33.54102  30.35342  22.51733 
1186  36.99594  35.19233  33.47686  30.29571  22.47443 
1187  36.92560  35.12549  33.41257  30.23789  22.43167 
1188  36.85376  35.05709  33.34816  30.17880  22.38772 
1189  36.77907  34.98714  33.28062  30.11843  22.34256 
1190  36.70559  34.91705  33.21445  30.05794  22.29776 
1191  36.63059  34.84537  33.14664  29.99617  22.25152 
1192  36.55544  34.77355  33.07869  29.93443  22.20563 
1193  36.47876  34.70014  33.00909  29.87122  22.15829 
1194  36.40192  34.62658  32.93782  29.80788  22.11108 
1195  36.32355  34.55286  32.86792  29.74458  22.06422 
1196  36.24362  34.47753  32.79634  29.67861  22.01431 
1197  36.16490  34.40203  32.72461  29.61368  21.96634 
1198  36.08462  34.32492  32.65119  29.54742  21.91666 
1199  36.00278  34.24763  32.57760  29.48101  21.86733 
1200  35.92075  34.17016  32.50385  29.41326  21.81628 
1201  35.83992  34.09252  32.42992  29.34655  21.76718 
1202  35.75472  34.01176  32.35274  29.27729  21.71474 
1203  35.67212  33.93229  32.27693  29.20890  21.66402 
1204  35.58651  33.85262  32.20093  29.13915  21.61157 
1205  35.50211  33.77129  32.12320  29.06923  21.55945 
1206  35.41610  33.68976  32.04684  28.99914  21.50721 
1207  35.33129  33.60952  31.97030  28.93009  21.45647 
1208  35.24628  33.52760  31.89200  28.85966  21.40421 
1209  35.15821  33.44398  31.81195  28.78767  21.35018 
1210  35.07136  33.36166  31.73484  28.71672  21.29789 
1211  34.98285  33.27762  31.65438  28.64437  21.24359 
1212  34.89556  33.19488  31.57515  28.57289  21.19104 
1213  34.80804  33.11042  31.49476  28.50000  21.13646 
1214  34.71887  33.02575  31.41528  28.42815  21.08364 
1215  34.63091  32.94237  31.33544  28.35613  21.03045 
1216  34.54272  32.85879  31.25540  28.28374  20.97737 
1217  34.45142  32.77194  31.17274  28.20851  20.92032 
1218  34.36277  32.68639  31.09212  28.13574  20.86672 
1219  34.27244  32.60061  31.01016  28.06118  20.81081 
1220  34.18187  32.51461  30.92895  27.98785  20.75669 
1221  34.09252  32.42992  30.84753  27.91415  20.70217 
1222  34.00147  32.34347  30.76573  27.84026  20.64728 
1223  33.91165  32.25833  30.68371  27.76599  20.59199 
1224  33.82011  32.17142  30.60147  27.69152  20.53655 
1225  33.72981  32.08582  30.52016  27.61793  20.48219 
1226  33.64075  32.00000  30.43863  27.54415  20.42768 
1227  33.55145  31.91551  30.35786  27.47126  20.37449 
1228  33.46042  31.82923  30.27573  27.39690  20.31896 
1229  33.37064  31.74272  30.19454  27.32343  20.26500 
1230  33.27762  31.65438  30.11063  27.24702  20.20668 
1231  33.18735  31.56913  30.02882  27.17296  20.15143 
1232  33.09683  31.48301  29.94679  27.09852  20.09577 
1233  33.00909  31.39889  29.86687  27.02647  20.04320 
1234  32.91960  31.31342  29.78557  26.95274  19.98825 
1235  32.83291  31.23252  29.70892  26.88420  19.93991 
1236  32.74599  31.14900  29.62955  26.81250  19.88743 
1237  32.65731  31.06525  29.54979  26.74061  19.83431 
1238  32.56993  30.98241  29.47117  26.66965  19.78231 
1239  32.48384  30.89952  29.39235  26.59831  19.72967 
1240  32.39599  30.81623  29.31314  26.52659  19.67613 
1241  32.31099  30.73532  29.23628  26.45713  19.62600 
1242  32.22422  30.65290  29.15785  26.38617  19.57294 
1243  32.13876  30.57156  29.08041  26.31615  19.52102 
1244  32.05464  30.49131  29.00414  26.24710  19.47023 
1245  31.97030  30.41200  28.92888  26.17919  19.42035 
1246  31.88730  30.33249  28.85325  26.11092  19.36982 
1247  31.80409  30.25293  28.77742  26.04208  19.31839 
1248  31.72066  30.17449  28.70279  25.97441  19.26785 
1249  31.64016  30.09701  28.62901  25.90772  19.21848 
1250  31.55931  30.02066  28.55643  25.84202  19.17003 
1251  31.47888  29.94428  28.48368  25.77596  19.12041 
1252  31.40096  29.87005  28.41320  25.71245  19.07407 
1253  31.32172  29.79463  28.34131  25.64703  19.02446 
1254  31.24372  29.72019  28.27048  25.58281  18.97604 
1255  31.16681  29.64709  28.20071  25.51960  18.92855 
1256  31.09228  29.57634  28.13343  25.45879  18.88412 
1257  31.01790  29.50542  28.06599  25.39764  18.83852 
1258  30.94333  29.43433  27.99839  25.33614  18.79202 
1259  30.87005  29.36460  27.93188  25.27568  18.74647 
1260  30.79805  29.29590  27.86647  25.21646  18.70187 
1261  30.72719  29.22858  27.80234  25.15810  18.65824 
1262  30.65763  29.16230  27.73932  25.10100  18.61559 
1263  30.58938  29.09725  27.67743  25.04496  18.57391 
1264  30.52114  29.03222  27.61539  24.98860  18.53132 
1265  30.45538  28.96964  27.55594  24.93492  18.49162 
1266  30.38964  28.90709  27.49636  24.88071  18.45102 
1267  30.32524  28.84580  27.43793  24.82781  18.41114 
1268  30.26219  28.78593  27.38083  24.77620  18.37281 
1269  30.20066  28.72734  27.32526  24.72590  18.33549 
1270  30.14001  28.66967  27.27031  24.67610  18.29836 
1271  30.08072  28.61328  27.21672  24.62763  18.26253 
1272  30.02249  28.55784  27.16395  24.57987  18.22690 
1273  29.96531  28.50333  27.11218  24.53284  18.19176 
1274  29.90953  28.45031  27.06160  24.48714  18.15792 
1275  29.85498  28.39841  27.01240  24.44238  18.12485 
1276  29.80168  28.34766  26.96405  24.39877  18.09226 
1277  29.74979  28.29823  26.91710  24.35611  18.06073 
1278  29.69916  28.25013  26.87117  24.31461  18.02997 
1279  29.64979  28.20319  26.82667  24.27447  18.00028 
1280  29.60203  28.15777  26.78339  24.23530  17.97165 
1281  29.55554  28.11370  26.74135  24.19752  17.94380 
1282  29.51051  28.07080  26.70075  24.16071  17.91675 
1283  29.46676  28.02927  26.66121  24.12509  17.89078 
1284  29.42448  27.98911  26.62311  24.09066  17.86561 
1285  29.38350  27.95013  26.58609  24.05743  17.84124 
1286  29.34399  27.91272  26.55052  24.02520  17.81769 
1287  29.30597  27.87651  26.51622  23.99437  17.79523 
1288  29.26944  27.84188  26.48320  23.96456  17.77357 
1289  29.23440  27.80845  26.45165  23.93616  17.75303 
1290  29.20051  27.77643  26.42120  23.90878  17.73302 
1291  29.16830  27.74599  26.39223  23.88263  17.71440 
1292  29.13760  27.71660  26.36456  23.85770  17.69633 
1293  29.10825  27.68881  26.33800  23.83380  17.67908 
1294  29.08058  27.66243  26.31311  23.81155  17.66296 
1295  29.05409  27.63747  26.28935  23.79012  17.64738 
1296  29.02912  27.61377  26.26690  23.76994  17.63264 
1297  29.00586  27.59167  26.24576  23.75100  17.61902 
1298  28.98396  27.57082  26.22613  23.73310  17.60625 
1299  28.96325  27.55123  26.20744  23.71645  17.59375 
1300  28.94443  27.53325  26.19046  23.70106  17.58266 
1301  28.92715  27.51690  26.17480  23.68692  17.57242 
1302  28.91107  27.50164  26.16027  23.67383  17.56246 
1303  28.89637  27.48763  26.14708  23.66178  17.55363 
1304  28.88339  27.47526  26.13523  23.65100  17.54565 
1305  28.87179  27.46416  26.12470  23.64149  17.53824 
1306  28.86122  27.45414  26.11513  23.63282  17.53140 
1307  28.85256  27.44595  26.10728  23.62562  17.52598 
1308  28.84528  27.43884  26.10057  23.61948  17.52113 
1309  28.83904  27.43301  26.09483  23.61419  17.51685 
1310  28.83453  27.42863  26.09061  23.61038  17.51371 
1311  28.83123  27.42535  26.08755  23.60741  17.51114 
1312  28.82967  27.42389  26.08620  23.60614  17.51028 
1313  28.82915  27.42335  26.08563  23.60551  17.50914 
1314  28.83002  27.42408  26.08620  23.60614  17.50943 
1315  28.83193  27.42608  26.08812  23.60763  17.51028 
1316  28.83557  27.42936  26.09119  23.61038  17.51200 
1317  28.84025  27.43392  26.09540  23.61419  17.51457 
1318  28.84614  27.43939  26.10077  23.61885  17.51771 
1319  28.85342  27.44631  26.10709  23.62456  17.52170 
1320  28.86174  27.45414  26.11456  23.63133  17.52627 
1321  28.87127  27.46307  26.12317  23.63895  17.53168 
1322  28.88200  27.47344  26.13293  23.64762  17.53796 
1323  28.89394  27.48472  26.14364  23.65734  17.54480 
1324  28.90709  27.49727  26.15550  23.66812  17.55278 
1325  28.92127  27.51054  26.16830  23.67953  17.56104 
1326  28.93665  27.52526  26.18225  23.69219  17.57014 
1327  28.95272  27.54070  26.19676  23.70527  17.57982 
1328  28.97033  27.55739  26.21259  23.71961  17.59034 
1329  28.98879  27.57481  26.22937  23.73479  17.60142 
1330  29.00810  27.59330  26.24690  23.75058  17.61335 
1331  29.02861  27.61286  26.26557  23.76741  17.62583 
1332  29.04996  27.63313  26.28479  23.78487  17.63859 
1333  29.07232  27.65448  26.30494  23.80336  17.65220 
1334  29.09553  27.67653  26.32603  23.82247  17.66664 
1335  29.11958  27.69946  26.34787  23.84219  17.68135 
1336  29.14464  27.72328  26.37063  23.86273  17.69661 
1337  29.17053  27.74797  26.39413  23.88410  17.71243 
1338  29.19709  27.77319  26.41817  23.90586  17.72879 
1339  29.22465  27.79946  26.44315  23.92864  17.74599 
1340  29.25286  27.82625  26.46866  23.95183  17.76316 
1341  29.28173  27.85373  26.49491  23.97561  17.78117 
1342  29.31126  27.88190  26.52169  23.99979  17.79916 
1343  29.34161  27.91093  26.54920  24.02499  17.81797 
1344  29.37261  27.94047  26.57743  24.05057  17.83732 
1345  29.40408  27.97034  26.60601  24.07634  17.85665 
1346  29.43637  28.00107  26.63513  24.10291  17.87652 
1347  29.46914  28.03230  26.66496  24.13006  17.89693 
1348  29.50254  28.06403  26.69513  24.15740  17.91731 
1349  29.53659  28.09644  26.72620  24.18553  17.93851 
1350  29.57076  28.12917  26.75724  24.21363  17.95940 
1351  29.60574  28.16239  26.78899  24.24253  17.98110 
1352  29.64102  28.19592  26.82089  24.27138  18.00250 
1353  29.67676  28.23013  26.85330  24.30082  18.02471 
1354  29.71279  28.26447  26.88605  24.33043  18.04688 
1355  29.74945  28.29929  26.91932  24.36062  18.06931 
1356  29.78641  28.33461  26.95274  24.39119  18.09226 
1357  29.82365  28.37005  26.98648  24.42171  18.11519 
1358  29.86101  28.40546  27.02036  24.45240  18.13781 
1359  29.89866  28.44134  27.05439  24.48326  18.16067 
1360  29.93627  28.47701  27.08838  24.51387  18.18351 
1361  29.97432  28.51333  27.12305  24.54526  18.20687 
1362  30.01233  28.54943  27.15732  24.57621  18.22965 
1363  30.05062  28.58584  27.19191  24.60772  18.25267 
1364  30.08854  28.62185  27.22609  24.63859  18.27539 
1365  30.12806  28.65955  27.26206  24.67124  18.30027 
1366  30.16621  28.69599  27.29670  24.70243  18.32294 
1367  30.20464  28.73239  27.33130  24.73358  18.34584 
1368  30.24417  28.77012  27.36732  24.76651  18.37063 
1369  30.28250  28.80642  27.40182  24.79778  18.39348 
1370  30.32095  28.84302  27.43647  24.82902  18.41657 
1371  30.35918  28.87940  27.47126  24.86041  18.43963 
1372  30.39770  28.91591  27.50600  24.89177  18.46267 
1373  30.43600  28.95255  27.54070  24.92308  18.48594 
1374  30.47441  28.98896  27.57535  24.95456  18.50919 
1375  30.51278  29.02551  27.61014  24.98620  18.53267 
1376  30.55111  29.06200  27.64507  25.01759  18.55613 
1377  30.58954  29.09863  27.67978  25.04935  18.58010 
1378  30.62777  29.13520  27.71462  25.08107  18.60403 
1379  30.66496  29.17036  27.74815  25.11115  18.62633 
1380  30.70195  29.20565  27.78165  25.14160  18.64859 
1381  30.73890  29.24090  27.81528  25.17201  18.67137 
1382  30.77353  29.27354  27.84601  25.19960  18.69037 
1383  30.81039  29.30870  27.87974  25.23014  18.71363 
1384  30.84493  29.34144  27.91057  25.25787  18.73313 
1385  30.87928  29.37397  27.94155  25.28557  18.75287 
1386  30.91359  29.40663  27.97249  25.31343  18.77312 
1387  30.94673  29.43807  28.00214  25.34009  18.79175 
1388  30.98209  29.47185  28.03444  25.36967  18.81489 
1389  31.01500  29.50305  28.06421  25.39646  18.83428 
1390  31.04674  29.53320  28.09270  25.42184  18.85205 
1391  31.07957  29.56434  28.12241  25.44877  18.87220 
1392  31.11109  29.59426  28.15084  25.47450  18.89100 
