#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 169  78.72801  74.86121  71.24113  64.62507  48.89274 
 170  78.94302  75.06664  71.43599  64.79969  49.00918 
 171  79.15428  75.26885  71.62820  64.97076  49.12331 
 172  79.36120  75.46655  71.81644  65.13908  49.23515 
 173  79.56444  75.66109  72.00069  65.30391  49.34369 
 174  79.76466  75.85249  72.18240  65.46602  49.45200 
 175  79.96124  76.04078  72.36090  65.62621  49.55805 
 176  80.15298  76.22467  72.53482  65.78146  49.66186 
 177  80.34115  76.40485  72.70626  65.93406  49.76344 
 178  80.52515  76.58133  72.87386  66.08404  49.86281 
 179  80.70564  76.75350  73.03698  66.22990  49.95998 
 180  80.88263  76.92334  73.19836  66.37469  50.05597 
 181  81.05553  77.08891  73.35530  66.51466  50.14978 
 182  81.22438  77.25089  73.50919  66.65208  50.24042 
 183  81.38857  77.40865  73.65868  66.78548  50.32892 
 184  81.54999  77.56288  73.80515  66.91637  50.41627 
 185  81.70679  77.71358  73.94795  67.04401  50.50148 
 186  81.85780  77.85820  74.08441  67.16621  50.58162 
 187  82.00671  78.00064  74.21995  67.28745  50.66261 
 188  82.15108  78.13962  74.35187  67.40475  50.74052 
 189  82.29095  78.27388  74.47886  67.51815  50.81634 
 190  82.42937  78.40600  74.60496  67.63136  50.89204 
 191  82.56028  78.53216  74.72416  67.73773  50.96273 
 192  82.68857  78.65495  74.84116  67.84247  51.03234 
 193  82.81184  78.77373  74.95332  67.94263  51.09892 
 194  82.93190  78.88916  75.06264  68.04043  51.16444 
 195  83.04758  79.00000  75.16782  68.13442  51.22694 
 196  83.15828  79.10625  75.26885  68.22463  51.28743 
 197  83.26584  79.20922  75.36644  68.31252  51.34589 
 198  83.36846  79.30826  75.46059  68.39664  51.40233 
