#
# Draine & Li IR Dust Emission
# "big" graphitic grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.2636    1.00000E-90    2.77989E-22
   0.2648    1.00000E-90    2.77221E-22
   0.2660    1.00000E-90    2.76477E-22
   0.2672    1.00000E-90    2.75755E-22
   0.2684    1.00000E-90    2.75052E-22
   0.2696    1.00000E-90    2.74366E-22
   0.2709    1.00000E-90    2.73696E-22
   0.2721    1.00000E-90    2.73040E-22
   0.2733    1.00000E-90    2.72397E-22
   0.2746    1.00000E-90    2.71778E-22
   0.2758    1.00000E-90    2.71185E-22
   0.2771    1.00000E-90    2.70600E-22
   0.2784    1.00000E-90    2.70024E-22
   0.2796    1.00000E-90    2.69454E-22
   0.2809    1.00000E-90    2.68890E-22
   0.2822    1.00000E-90    2.68328E-22
   0.2835    1.00000E-90    2.67770E-22
   0.2848    1.00000E-90    2.67212E-22
   0.2861    1.00000E-90    2.66719E-22
   0.2874    1.00000E-90    2.66246E-22
   0.2887    1.00000E-90    2.65779E-22
   0.2900    1.00000E-90    2.65319E-22
   0.2913    1.00000E-90    2.64864E-22
   0.2927    1.00000E-90    2.64422E-22
   0.2940    1.00000E-90    2.63986E-22
   0.2953    1.00000E-90    2.63552E-22
   0.2967    1.00000E-90    2.63118E-22
   0.2980    1.00000E-90    2.62686E-22
   0.2994    1.00000E-90    2.62254E-22
   0.3008    1.00000E-90    2.61824E-22
   0.3021    1.00000E-90    2.61394E-22
   0.3035    1.00000E-90    2.60964E-22
   0.3049    1.00000E-90    2.60534E-22
   0.3063    1.00000E-90    2.60105E-22
   0.3077    1.00000E-90    2.59676E-22
   0.3091    1.00000E-90    2.59246E-22
   0.3105    1.00000E-90    2.58814E-22
   0.3119    1.00000E-90    2.58379E-22
   0.3134    1.00000E-90    2.57944E-22
   0.3148    1.00000E-90    2.57509E-22
   0.3162    1.00000E-90    2.57073E-22
   0.3177    1.00000E-90    2.56637E-22
   0.3191    1.00000E-90    2.56201E-22
   0.3206    1.00000E-90    2.55765E-22
   0.3220    1.00000E-90    2.55328E-22
   0.3235    1.00000E-90    2.54890E-22
   0.3250    1.00000E-90    2.54452E-22
   0.3265    1.00000E-90    2.54014E-22
   0.3280    1.00000E-90    2.53583E-22
   0.3295    1.00000E-90    2.53153E-22
   0.3310    1.00000E-90    2.52723E-22
