#
# Pyroxene Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Bronzite HS9.3B
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Bronzite_HS9.3B_Pyroxene_BECKc_AREF.html
#
# wavelength is in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
6.4570004e-001  4.1765177e-001  9.3269331e-004
6.4770007e-001  4.1871440e-001  9.8910416e-004
6.4970005e-001  4.2071003e-001  1.0259807e-003
6.5170002e-001  4.2100689e-001  1.0454877e-003
6.5370005e-001  4.2264488e-001  1.0266696e-003
6.5570003e-001  4.2223650e-001  6.9794309e-004
6.5770006e-001  4.2233393e-001  8.5430575e-004
6.5970004e-001  4.2330548e-001  6.3489808e-004
6.6170001e-001  4.2551073e-001  8.1907079e-004
6.6370004e-001  4.2547822e-001  9.7040134e-004
6.6570002e-001  4.2718554e-001  7.3460420e-004
6.6770005e-001  4.2850927e-001  1.1031020e-003
6.7019999e-001  4.2991412e-001  9.4505463e-004
6.7320001e-001  4.3165934e-001  7.4377778e-004
6.7619997e-001  4.3461415e-001  9.3930750e-004
6.7919999e-001  4.3686560e-001  1.0250878e-003
6.8219995e-001  4.4097614e-001  1.0490189e-003
6.8519998e-001  4.4405121e-001  9.2714495e-004
6.8820000e-001  4.4496119e-001  1.1037324e-003
6.9120002e-001  4.4463289e-001  1.0152617e-003
6.9420004e-001  4.4495293e-001  1.5421724e-003
6.9720006e-001  4.4536194e-001  1.2312109e-003
7.0019996e-001  4.4806632e-001  1.2972142e-003
7.0199996e-001  4.4959277e-001  9.7791082e-004
7.0400000e-001  4.5006973e-001  1.0533644e-003
7.0599997e-001  4.5125285e-001  9.8016765e-004
7.0800000e-001  4.5215532e-001  1.0325566e-003
7.0999998e-001  4.5513883e-001  1.0839838e-003
7.1199995e-001  4.5504013e-001  1.4796325e-003
7.1399999e-001  4.5585215e-001  7.9161662e-004
7.1599996e-001  4.5621133e-001  8.1544043e-004
7.1799999e-001  4.5701888e-001  8.4085512e-004
7.1999997e-001  4.5640209e-001  7.7595533e-004
7.2199994e-001  4.5658708e-001  6.8834802e-004
7.2399998e-001  4.5685071e-001  1.0760726e-003
7.2599995e-001  4.5658049e-001  8.5491233e-004
7.2799999e-001  4.5488235e-001  8.5291965e-004
7.2999996e-001  4.5346567e-001  8.3253602e-004
7.3199993e-001  4.5110574e-001  5.1781250e-004
7.3399997e-001  4.4825500e-001  9.3060377e-004
7.3599994e-001  4.4380060e-001  1.0486282e-003
7.3799998e-001  4.4325066e-001  9.1478997e-004
7.4000001e-001  4.4033012e-001  8.9745107e-004
7.4199998e-001  4.3770194e-001  1.1214174e-003
7.4400002e-001  4.3369201e-001  9.2127605e-004
7.4599999e-001  4.2950004e-001  9.0300274e-004
7.4800003e-001  4.2472661e-001  7.4485951e-004
7.5050002e-001  4.1845047e-001  1.2416630e-003
7.5350004e-001  4.1119879e-001  7.7631569e-004
7.5650001e-001  4.0211615e-001  9.6586626e-004
7.5950003e-001  3.9395982e-001  8.2611141e-004
7.6249999e-001  3.8581917e-001  8.8235649e-004
7.6550001e-001  3.7482855e-001  8.7729754e-004
7.6850003e-001  3.6578044e-001  8.8204781e-004
7.7149999e-001  3.5626122e-001  6.7809742e-004
7.7450001e-001  3.4548488e-001  7.1816245e-004
7.7750003e-001  3.3523944e-001  7.1202690e-004
7.8099996e-001  3.2296690e-001  8.6752843e-004
7.8499997e-001  3.0860907e-001  6.2534487e-004
7.8899997e-001  2.9609331e-001  1.1589405e-003
7.9299998e-001  2.8341743e-001  9.2961214e-004
7.9699999e-001  2.7136901e-001  6.9680123e-004
8.0150002e-001  2.5754029e-001  6.2358443e-004
8.0650002e-001  2.4358694e-001  6.6016585e-004
8.1150001e-001  2.3071043e-001  7.7390473e-004
8.1650001e-001  2.1832101e-001  7.5258320e-004
8.2199997e-001  2.0589603e-001  7.0438976e-004
8.2800001e-001  1.9361639e-001  8.5916545e-004
8.3499998e-001  1.8117200e-001  9.0470968e-004
8.4300005e-001  1.6989245e-001  1.1032339e-003
8.5100001e-001  1.6022690e-001  1.8525637e-003
8.5900003e-001  1.5092775e-001  1.7091668e-003
8.7099999e-001  1.3861641e-001  1.7280245e-003
8.8300002e-001  1.3472341e-001  1.7123985e-003
8.9399999e-001  1.3052884e-001  1.7242735e-003
9.0399998e-001  1.2752709e-001  1.6613971e-003
9.1399997e-001  1.2470944e-001  8.3210092e-004
9.2399997e-001  1.2533428e-001  1.1061988e-003
9.3299997e-001  1.2942560e-001  1.4693111e-003
9.4099998e-001  1.3072821e-001  1.1926888e-003
9.4900000e-001  1.3367374e-001  9.1050781e-004
9.5700002e-001  1.4146289e-001  9.1681897e-004
9.6399999e-001  1.4612415e-001  1.3395208e-003
9.6999997e-001  1.5430309e-001  1.2228192e-003
9.7599995e-001  1.6001287e-001  1.2937505e-003
9.8199993e-001  1.6898555e-001  1.1904172e-003
9.8799998e-001  1.7937563e-001  1.1907254e-003
9.9400002e-001  1.8925333e-001  9.3844172e-004
1.0000000e+000  1.9974828e-001  1.2171969e-003
1.0060000e+000  2.1446893e-001  8.4285700e-004
1.0120000e+000  2.2660036e-001  1.0500031e-003
1.0180000e+000  2.4002936e-001  1.2850368e-003
1.0235000e+000  2.5523075e-001  1.3242252e-003
1.0285000e+000  2.6729512e-001  1.0471009e-003
1.0335000e+000  2.8222558e-001  1.3359290e-003
1.0385000e+000  2.9451057e-001  8.6485140e-004
1.0434999e+000  3.0856144e-001  1.4178068e-003
1.0484999e+000  3.2230657e-001  1.1647246e-003
1.0534999e+000  3.3564934e-001  1.1196780e-003
1.0584999e+000  3.4863934e-001  1.0561520e-003
1.0634999e+000  3.6152315e-001  7.9892838e-004
1.0684999e+000  3.7407252e-001  1.1113650e-003
1.0735000e+000  3.8609627e-001  9.0824836e-004
1.0785000e+000  3.9863512e-001  9.9930901e-004
1.0835000e+000  4.0869689e-001  1.2342706e-003
1.0885000e+000  4.2041922e-001  7.4621843e-004
1.0935000e+000  4.2899761e-001  1.2057624e-003
1.0985000e+000  4.3898728e-001  7.7338994e-004
1.1035000e+000  4.4837889e-001  1.0496952e-003
1.1085000e+000  4.5667487e-001  1.0043678e-003
1.1135000e+000  4.6393561e-001  7.2441128e-004
1.1185000e+000  4.7104281e-001  8.2379906e-004
1.1235000e+000  4.7806653e-001  6.9003261e-004
1.1285000e+000  4.8487028e-001  8.8174251e-004
1.1335000e+000  4.8892370e-001  1.0115588e-003
1.1385000e+000  4.9620849e-001  7.5306947e-004
1.1435000e+000  5.0064009e-001  8.7647414e-004
1.1485000e+000  5.0363338e-001  1.0761381e-003
1.1535000e+000  5.0808859e-001  8.9126301e-004
1.1585000e+000  5.1161003e-001  9.6450868e-004
1.1635000e+000  5.1412082e-001  1.0896566e-003
1.1684999e+000  5.1735812e-001  9.1020076e-004
1.1735001e+000  5.1989424e-001  1.1712129e-003
1.1785001e+000  5.2259469e-001  8.8445656e-004
1.1835001e+000  5.2549738e-001  8.4148569e-004
1.1885000e+000  5.3016579e-001  1.0715572e-003
1.1935000e+000  5.3207725e-001  8.8793959e-004
1.1985000e+000  5.3221393e-001  9.3279523e-004
1.2035000e+000  5.3415877e-001  8.6453941e-004
1.2085000e+000  5.3581482e-001  9.7055500e-004
1.2135000e+000  5.3756714e-001  8.7903906e-004
1.2185000e+000  5.4051155e-001  8.9541811e-004
1.2235000e+000  5.3968662e-001  1.1491918e-003
1.2285000e+000  5.4019970e-001  8.2595716e-004
1.2335000e+000  5.4304409e-001  1.2319281e-003
1.2385000e+000  5.4240459e-001  8.1109838e-004
1.2435000e+000  5.4251146e-001  1.0679952e-003
1.2485000e+000  5.4319078e-001  8.8065647e-004
1.2535000e+000  5.4244578e-001  7.0850510e-004
1.2585000e+000  5.4343241e-001  7.7109929e-004
1.2635000e+000  5.4569709e-001  8.5643394e-004
1.2685000e+000  5.4548591e-001  5.9625786e-004
1.2735001e+000  5.4500383e-001  7.5341773e-004
1.2785001e+000  5.4418325e-001  8.6275674e-004
1.2835001e+000  5.4447353e-001  1.0833329e-003
1.2885001e+000  5.4384792e-001  8.5325039e-004
1.2935001e+000  5.4377156e-001  7.4898702e-004
1.2985001e+000  5.4290545e-001  7.7573216e-004
1.3034999e+000  5.4151672e-001  8.5693796e-004
1.3084999e+000  5.4079551e-001  9.4219600e-004
1.3134999e+000  5.4015142e-001  9.7845437e-004
1.3184999e+000  5.3861934e-001  1.0781226e-003
1.3234999e+000  5.3762019e-001  7.8613439e-004
1.3284999e+000  5.3588599e-001  8.9122786e-004
1.3334999e+000  5.3359145e-001  8.0445188e-004
1.3384999e+000  5.3156590e-001  7.8533398e-004
1.3434999e+000  5.2963990e-001  8.1310736e-004
1.3484999e+000  5.2567530e-001  1.2028076e-003
1.3534999e+000  5.2139574e-001  1.1028288e-003
1.3584999e+000  5.2121150e-001  1.0520569e-003
1.3634999e+000  5.1776588e-001  1.0246336e-003
1.3684999e+000  5.1282555e-001  1.2066779e-003
1.3735000e+000  5.0875950e-001  1.1916973e-003
1.3785000e+000  5.0349706e-001  1.3359258e-003
1.3835000e+000  4.9966270e-001  1.0802114e-003
1.3885000e+000  4.8698646e-001  1.2399916e-003
1.3935000e+000  4.7307664e-001  1.5656668e-003
1.3985000e+000  4.7889990e-001  1.3854362e-003
1.4035000e+000  4.8148602e-001  1.3257616e-003
1.4085000e+000  4.7616383e-001  1.2786714e-003
1.4135000e+000  4.7116667e-001  8.2149118e-004
1.4184999e+000  4.6683475e-001  8.9137256e-004
1.4234999e+000  4.6333352e-001  8.4167923e-004
1.4284999e+000  4.5908195e-001  1.0816541e-003
1.4334999e+000  4.5278895e-001  1.3237017e-003
1.4384999e+000  4.4763649e-001  1.3688687e-003
1.4434999e+000  4.4266212e-001  1.1853316e-003
1.4484999e+000  4.3701461e-001  1.0599830e-003
1.4534999e+000  4.3061310e-001  1.4394122e-003
1.4584999e+000  4.2632115e-001  8.4375474e-004
1.4634999e+000  4.1812253e-001  7.1935338e-004
1.4684999e+000  4.1467577e-001  1.1738221e-003
1.4735000e+000  4.0920901e-001  1.0839015e-003
1.4785000e+000  4.0435278e-001  1.6523136e-003
1.4835000e+000  3.9607912e-001  1.0302397e-003
1.4885000e+000  3.9216346e-001  1.0535867e-003
1.4935000e+000  3.8483769e-001  1.3148879e-003
1.4985000e+000  3.7891424e-001  1.1256092e-003
1.5035000e+000  3.6967531e-001  1.0800754e-003
1.5085000e+000  3.6778751e-001  1.1956289e-003
1.5135000e+000  3.5925546e-001  1.1186905e-003
1.5185000e+000  3.5547930e-001  1.6295178e-003
1.5235000e+000  3.4991288e-001  1.0028211e-003
1.5285000e+000  3.4498763e-001  1.2938355e-003
1.5339999e+000  3.3822843e-001  1.0938641e-003
1.5400000e+000  3.3055907e-001  1.3831820e-003
1.5460000e+000  3.2513583e-001  8.8267995e-004
1.5519999e+000  3.1897664e-001  8.8398531e-004
1.5580000e+000  3.1453225e-001  1.0775173e-003
1.5639999e+000  3.0713788e-001  9.8215649e-004
1.5705000e+000  3.0038360e-001  9.7347284e-004
1.5775000e+000  2.9328027e-001  7.4048172e-004
1.5845000e+000  2.8709030e-001  1.0250385e-003
1.5915000e+000  2.8136963e-001  7.9231715e-004
1.5985000e+000  2.7492502e-001  6.5269350e-004
1.6055000e+000  2.7018103e-001  7.9393305e-004
1.6125000e+000  2.6252782e-001  7.5596035e-004
1.6194999e+000  2.5839996e-001  9.7569084e-004
1.6265000e+000  2.5190726e-001  8.7348965e-004
1.6335000e+000  2.4626774e-001  1.5341920e-003
1.6404999e+000  2.4403436e-001  8.3607889e-004
1.6474999e+000  2.3738752e-001  9.0673193e-004
1.6544999e+000  2.3331653e-001  1.4456046e-003
1.6615000e+000  2.2991517e-001  1.2595188e-003
1.6684999e+000  2.2600730e-001  6.6015433e-004
1.6760001e+000  2.2052820e-001  1.2494873e-003
1.6840000e+000  2.1776468e-001  1.2715086e-003
1.6920000e+000  2.1364120e-001  1.3047585e-003
1.7000000e+000  2.0764901e-001  1.5737900e-003
1.7080001e+000  2.0703919e-001  1.1260617e-003
1.7160001e+000  2.0321378e-001  1.2379875e-003
1.7240000e+000  1.9743702e-001  9.7004458e-004
1.7320000e+000  1.9711491e-001  1.4993696e-003
1.7400000e+000  1.9090804e-001  1.6831636e-003
1.7480000e+000  1.9093031e-001  1.6978404e-003
1.7560000e+000  1.8952431e-001  1.7585476e-003
1.7639999e+000  1.8778187e-001  1.1977848e-003
1.7720001e+000  1.8590264e-001  1.2960584e-003
1.7800001e+000  1.8543524e-001  1.6709587e-003
1.7880001e+000  1.8238904e-001  1.6774681e-003
1.7960001e+000  1.8216640e-001  1.1359216e-003
1.8049999e+000  1.7965508e-001  9.3490275e-004
1.8149999e+000  1.7936280e-001  9.6556073e-004
1.8249999e+000  1.7916606e-001  9.3679037e-004
1.8349999e+000  1.7683236e-001  1.7328572e-003
1.8449999e+000  1.7873698e-001  1.0438734e-003
1.8549999e+000  1.7691733e-001  1.7658756e-003
1.8649999e+000  1.7806457e-001  1.1465237e-003
1.8750000e+000  1.7686905e-001  1.3078239e-003
1.8850000e+000  1.7810041e-001  7.9137436e-004
1.8950000e+000  1.7991289e-001  1.0408557e-003
1.9050000e+000  1.8149181e-001  1.1657557e-003
1.9150000e+000  1.8320242e-001  1.4433042e-003
1.9250000e+000  1.8444577e-001  1.5665824e-003
1.9349999e+000  1.8519975e-001  1.4741985e-003
1.9449999e+000  1.8880492e-001  1.1035303e-003
1.9549999e+000  1.9203189e-001  1.5412815e-003
1.9649999e+000  1.9453603e-001  1.2369747e-003
1.9750000e+000  2.0248403e-001  1.5605500e-003
1.9850000e+000  2.0520484e-001  1.3834762e-003
1.9950000e+000  2.0986103e-001  1.7491990e-003
2.0050001e+000  2.1213673e-001  1.7368377e-003
2.0150001e+000  2.1561082e-001  1.5090415e-003
2.0250001e+000  2.2082628e-001  1.4129211e-003
2.0350001e+000  2.2811003e-001  1.6846004e-003
2.0450001e+000  2.3075785e-001  1.6848583e-003
2.0550001e+000  2.3932366e-001  1.7424452e-003
2.0650001e+000  2.4771638e-001  1.5187797e-003
2.0750000e+000  2.5155133e-001  1.6872508e-003
2.0850000e+000  2.5896710e-001  1.5621609e-003
2.0950000e+000  2.6391327e-001  1.7035479e-003
2.1050000e+000  2.7278584e-001  1.6955913e-003
2.1150000e+000  2.7634627e-001  1.7318591e-003
2.1250000e+000  2.8753445e-001  1.7083695e-003
2.1350000e+000  2.9603669e-001  1.7290035e-003
2.1450000e+000  2.9999918e-001  1.7320593e-003
2.1550000e+000  3.0867594e-001  1.4062300e-003
2.1650000e+000  3.1303537e-001  1.6366799e-003
2.1750000e+000  3.1724545e-001  1.4770873e-003
2.1849999e+000  3.2282081e-001  1.7067458e-003
2.1949999e+000  3.3040571e-001  1.7286788e-003
2.2050002e+000  3.3285850e-001  1.7346358e-003
2.2150002e+000  3.3929560e-001  1.7461115e-003
2.2250001e+000  3.4910569e-001  1.7198271e-003
2.2350001e+000  3.5003909e-001  1.7554878e-003
2.2450001e+000  3.5043490e-001  1.7705861e-003
2.2550001e+000  3.5589081e-001  1.7697670e-003
2.2650001e+000  3.5988659e-001  1.7687103e-003
2.2750001e+000  3.5687342e-001  1.8833539e-003
2.2850001e+000  3.6164248e-001  2.5457004e-003
2.2950001e+000  3.6389011e-001  3.3150078e-003
2.3050001e+000  3.5723293e-001  2.8597808e-003
2.3150001e+000  3.6257523e-001  2.1971948e-003
2.3250000e+000  3.7644312e-001  1.7740778e-003
2.3350000e+000  3.8149813e-001  1.7055148e-003
2.3450000e+000  3.8764182e-001  1.5226637e-003
2.3550000e+000  3.9222306e-001  1.7288327e-003
2.3650000e+000  3.9089724e-001  1.7600487e-003
2.3750000e+000  3.9110345e-001  1.7508834e-003
2.3859999e+000  3.9216071e-001  1.0888496e-003
2.4000001e+000  3.9657193e-001  1.3771891e-003
2.4180000e+000  4.0485442e-001  1.2593757e-003
2.4400001e+000  4.0546593e-001  9.5354335e-004
2.4660001e+000  4.0773293e-001  1.3251059e-003
2.4960001e+000  4.1454092e-001  1.3292675e-003
2.5279999e+000  4.1919911e-001  1.4128683e-003
2.5599999e+000  4.1813943e-001  1.6576626e-003
2.5920000e+000  4.1973758e-001  1.6269048e-003
2.6239998e+000  4.1519114e-001  1.6050115e-003
2.6559999e+000  4.1343060e-001  1.8433093e-003
2.6879997e+000  3.4272656e-001  4.3048202e-003
2.7200000e+000  2.3743613e-001  7.0917583e-003
2.7520001e+000  2.1132733e-001  8.3243409e-003
2.7839999e+000  2.0925410e-001  7.9304278e-003
2.8160000e+000  1.9429860e-001  6.6233319e-003
2.8479998e+000  2.0046954e-001  6.3729701e-003
2.8799999e+000  2.0597330e-001  5.8655459e-003
2.9120002e+000  1.9859417e-001  6.6472250e-003
2.9440000e+000  2.0351182e-001  7.3608151e-003
2.9760001e+000  1.9456138e-001  9.8328302e-003
