#
# ISO SWS/LWS Spectra of young stellar object GL7009S
# Dartois et al. 1998, A&A, 
#
# Combined SWS/LWS spectrum of GL7009 S obtained from P.Cox 
# through XT on 09/12/98
#
# lam - wavelength in microns
# flux - flux in W/cm^2/um
#
lam      flux
  3.2909  2.20355e-18  
  3.2936  2.70557e-18  
  3.2964  2.92758e-18  
  3.2991  3.08764e-18  
  3.3019  3.41212e-18  
  3.3046  3.79505e-18  
  3.3074  3.98376e-18  
  3.3102  3.88519e-18  
  3.3129  3.65086e-18  
  3.3157  3.43306e-18  
  3.3184  3.21903e-18  
  3.3212  2.94093e-18  
  3.3240  2.59087e-18  
  3.3267  2.40268e-18  
  3.3295  2.56509e-18  
  3.3323  2.91324e-18  
  3.3351  3.18011e-18  
  3.3379  3.31315e-18  
  3.3406  3.46672e-18  
  3.3434  3.67728e-18  
  3.3462  3.76335e-18  
  3.3490  3.61148e-18  
  3.3518  3.36981e-18  
  3.3546  3.24837e-18  
  3.3574  3.14274e-18  
  3.3602  2.94652e-18  
  3.3630  2.82878e-18  
  3.3658  2.98402e-18  
  3.3686  3.30750e-18  
  3.3714  3.51634e-18  
  3.3742  3.48545e-18  
  3.3770  3.21756e-18  
  3.3798  2.85617e-18  
  3.3827  2.64118e-18  
  3.3855  2.74802e-18  
  3.3883  3.07041e-18  
  3.3911  3.29594e-18  
  3.3939  3.17249e-18  
  3.3968  2.77180e-18  
  3.3996  2.41316e-18  
  3.4024  2.33350e-18  
  3.4053  2.50499e-18  
  3.4081  2.64577e-18  
  3.4110  2.79892e-18  
  3.4138  3.15519e-18  
  3.4166  3.67743e-18  
  3.4195  4.05932e-18  
  3.4223  4.17817e-18  
  3.4252  4.36738e-18  
  3.4281  4.85598e-18  
  3.4309  5.32944e-18  
  3.4338  5.25444e-18  
  3.4366  4.55139e-18  
  3.4395  3.71929e-18  
  3.4424  3.09215e-18  
  3.4452  2.78180e-18  
  3.4481  2.85915e-18  
  3.4510  3.36429e-18  
  3.4539  4.12974e-18  
  3.4567  4.68441e-18  
  3.4596  4.70188e-18  
  3.4625  4.35500e-18  
  3.4654  4.14683e-18  
  3.4683  4.33749e-18  
  3.4712  4.87469e-18  
  3.4741  5.67415e-18  
  3.4770  6.66669e-18  
  3.4799  7.73655e-18  
  3.4828  8.65369e-18  
  3.4857  9.30966e-18  
  3.4886  9.48193e-18  
  3.4915  9.01547e-18  
  3.4944  8.10236e-18  
  3.4973  7.23994e-18  
  3.5002  6.92664e-18  
  3.5031  7.18989e-18  
  3.5061  7.74920e-18  
  3.5090  8.37400e-18  
  3.5119  9.24363e-18  
  3.5148  1.04579e-17  
  3.5178  1.15170e-17  
  3.5228  5.92572e-18  
  3.5257  8.09350e-18  
  3.5287  9.40140e-18  
  3.5316  9.61034e-18  
  3.5346  9.26707e-18  
  3.5375  8.96667e-18  
  3.5405  9.39483e-18  
  3.5434  1.05619e-17  
  3.5464  1.20975e-17  
  3.5493  1.33449e-17  
  3.5523  1.38368e-17  
  3.5552  1.36698e-17  
  3.5582  1.32185e-17  
  3.5612  1.30287e-17  
  3.5641  1.34566e-17  
  3.5671  1.45373e-17  
  3.5701  1.61438e-17  
  3.5731  1.79215e-17  
  3.5760  1.95248e-17  
  3.5790  2.08851e-17  
  3.5820  2.23373e-17  
  3.5850  2.38950e-17  
  3.5880  2.52456e-17  
  3.5910  2.61852e-17  
  3.5940  2.68214e-17  
  3.5970  2.72885e-17  
  3.6000  2.80324e-17  
  3.6030  2.90166e-17  
  3.6060  2.97756e-17  
  3.6090  3.00032e-17  
  3.6120  2.98364e-17  
  3.6150  2.98170e-17  
  3.6180  3.05388e-17  
  3.6210  3.21011e-17  
  3.6240  3.39802e-17  
  3.6271  3.53649e-17  
  3.6301  3.59665e-17  
  3.6331  3.61107e-17  
  3.6361  3.64724e-17  
  3.6392  3.74903e-17  
  3.6422  3.88528e-17  
  3.6452  4.00109e-17  
  3.6483  4.07900e-17  
  3.6513  4.15410e-17  
  3.6544  4.25480e-17  
  3.6574  4.36013e-17  
  3.6605  4.44962e-17  
  3.6635  4.51040e-17  
  3.6666  4.54623e-17  
  3.6696  4.55829e-17  
  3.6727  4.55657e-17  
  3.6757  4.56232e-17  
  3.6788  4.59536e-17  
  3.6819  4.66895e-17  
  3.6849  4.76665e-17  
  3.6880  4.84981e-17  
  3.6911  4.90311e-17  
  3.6942  4.94563e-17  
  3.6972  5.02918e-17  
  3.7003  5.18896e-17  
  3.7034  5.37365e-17  
  3.7065  5.48281e-17  
  3.7096  5.48427e-17  
  3.7127  5.45236e-17  
  3.7158  5.45896e-17  
  3.7189  5.51929e-17  
  3.7220  5.60490e-17  
  3.7251  5.69263e-17  
  3.7282  5.77343e-17  
  3.7313  5.85109e-17  
  3.7344  5.94342e-17  
  3.7375  6.04700e-17  
  3.7406  6.14105e-17  
  3.7438  6.18977e-17  
  3.7469  6.19431e-17  
  3.7500  6.17452e-17  
  3.7531  6.17250e-17  
  3.7563  6.21629e-17  
  3.7594  6.30468e-17  
  3.7625  6.39878e-17  
  3.7657  6.45886e-17  
  3.7688  6.49043e-17  
  3.7719  6.53620e-17  
  3.7751  6.61770e-17  
  3.7782  6.71577e-17  
  3.7814  6.79086e-17  
  3.7845  6.81877e-17  
  3.7877  6.80648e-17  
  3.7908  6.78180e-17  
  3.7940  6.79141e-17  
  3.7972  6.84489e-17  
  3.8003  6.91347e-17  
  3.8035  6.96603e-17  
  3.8067  7.00169e-17  
  3.8098  7.02616e-17  
  3.8130  7.05168e-17  
  3.8162  7.09305e-17  
  3.8194  7.16083e-17  
  3.8226  7.22950e-17  
  3.8258  7.26986e-17  
  3.8289  7.28636e-17  
  3.8321  7.30091e-17  
  3.8353  7.34550e-17  
  3.8385  7.44405e-17  
  3.8417  7.58806e-17  
  3.8449  7.72755e-17  
  3.8481  7.81109e-17  
  3.8513  7.84981e-17  
  3.8546  7.88401e-17  
  3.8578  7.94099e-17  
  3.8610  8.02086e-17  
  3.8642  8.09661e-17  
  3.8674  8.14070e-17  
  3.8706  8.16525e-17  
  3.8739  8.20450e-17  
  3.8771  8.26357e-17  
  3.8803  8.30645e-17  
  3.8836  8.30533e-17  
  3.8868  8.27097e-17  
  3.8900  8.24944e-17  
  3.8933  8.27953e-17  
  3.8965  8.36129e-17  
  3.8998  8.45415e-17  
  3.9030  8.51137e-17  
  3.9063  8.52064e-17  
  3.9095  8.51196e-17  
  3.9128  8.52052e-17  
  3.9161  8.55550e-17  
  3.9193  8.59843e-17  
  3.9226  8.62280e-17  
  3.9259  8.63087e-17  
  3.9291  8.65007e-17  
  3.9324  8.70143e-17  
  3.9357  8.78138e-17  
  3.9390  8.87179e-17  
  3.9423  8.95091e-17  
  3.9455  9.00854e-17  
  3.9488  9.05934e-17  
  3.9521  9.12076e-17  
  3.9554  9.18535e-17  
  3.9587  9.22618e-17  
  3.9620  9.23337e-17  
  3.9653  9.22872e-17  
  3.9686  9.26626e-17  
  3.9719  9.38088e-17  
  3.9753  9.54456e-17  
  3.9786  9.69880e-17  
  3.9819  9.81678e-17  
  3.9852  9.89763e-17  
  3.9885  9.94256e-17  
  3.9918  9.95801e-17  
  3.9952  9.96863e-17  
  3.9985  9.99793e-17  
  4.0018  1.00537e-16  
  4.0052  1.01258e-16  
  4.0085  1.02255e-16  
  4.0119  1.03773e-16  
  4.0152  1.05785e-16  
  4.0186  1.07904e-16  
  4.0219  1.09668e-16  
  4.0253  1.10976e-16  
  4.0286  1.12036e-16  
  4.0320  1.12807e-16  
  4.0353  1.13246e-16  
  4.0387  1.13473e-16  
  4.0421  1.13771e-16  
  4.0454  1.14238e-16  
  4.0488  1.14810e-16  
  4.0522  1.15275e-16  
  4.0556  1.15519e-16  
  4.0589  1.15637e-16  
  4.0623  1.15818e-16  
  4.0657  1.16093e-16  
  4.0691  1.16358e-16  
  4.0725  1.16497e-16  
  4.0759  1.16527e-16  
  4.0793  1.16426e-16  
  4.0824  1.20215e-16  
  4.0858  1.23671e-16  
  4.0892  1.27039e-16  
  4.0926  1.28335e-16  
  4.0960  1.27199e-16  
  4.0995  1.25033e-16  
  4.1029  1.23555e-16  
  4.1063  1.23292e-16  
  4.1097  1.24627e-16  
  4.1131  1.26771e-16  
  4.1166  1.29696e-16  
  4.1200  1.32555e-16  
  4.1234  1.36145e-16  
  4.1269  1.39478e-16  
  4.1303  1.40623e-16  
  4.1338  1.37935e-16  
  4.1372  1.33295e-16  
  4.1407  1.30014e-16  
  4.1441  1.30066e-16  
  4.1476  1.33534e-16  
  4.1510  1.37798e-16  
  4.1545  1.39564e-16  
  4.1579  1.38967e-16  
  4.1614  1.39397e-16  
  4.1649  1.43374e-16  
  4.1684  1.50063e-16  
  4.1718  1.56242e-16  
  4.1753  1.60616e-16  
  4.1788  1.63412e-16  
  4.1823  1.66637e-16  
  4.1858  1.68762e-16  
  4.1892  1.66030e-16  
  4.1927  1.57351e-16  
  4.1962  1.45453e-16  
  4.1997  1.33727e-16  
  4.2032  1.18686e-16  
  4.2067  1.10500e-16  
  4.2102  1.01347e-16  
  4.2138  9.08617e-17  
  4.2173  7.96354e-17  
  4.2208  6.57336e-17  
  4.2243  4.94052e-17  
  4.2278  3.20093e-17  
  4.2314  1.51473e-17  
  4.2349  2.22375e-18  
  4.2384 -6.31708e-18  
  4.2419 -1.15716e-17  
  4.2455 -1.47545e-17  
  4.2490 -1.67222e-17  
  4.2526 -1.66890e-17  
  4.2561 -1.59860e-17  
  4.2597 -1.64501e-17  
  4.2632 -1.83751e-17  
  4.2668 -2.09908e-17  
  4.2703 -2.36992e-17  
  4.2739 -2.48558e-17  
  4.2774 -2.18354e-17  
  4.2810 -1.29775e-17  
  4.2846  1.61379e-18  
  4.2881  1.92806e-17  
  4.2917  3.80294e-17  
  4.2953  5.64904e-17  
