#
# Carbon Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Carbon Black GDS68
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Carbon_Black_GDS68_sm.ap._BECKa_AREF.html
#
# wavelength in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
1.2635000e+000  1.4589845e-002  5.1597372e-004
1.2685000e+000  1.3964527e-002  5.1886903e-004
1.2735001e+000  1.4538714e-002  5.1803095e-004
1.2785001e+000  1.4820314e-002  5.1764271e-004
1.2835001e+000  1.4767370e-002  5.1847252e-004
1.2885001e+000  1.3841590e-002  5.1822362e-004
1.2935001e+000  1.4762827e-002  5.1831297e-004
1.2985001e+000  1.4429888e-002  5.2099646e-004
1.3034999e+000  1.5086612e-002  5.2565330e-004
1.3084999e+000  1.3502400e-002  5.1861524e-004
1.3134999e+000  1.5338268e-002  5.2005198e-004
1.3184999e+000  1.4615122e-002  5.1869184e-004
1.3234999e+000  1.4410348e-002  5.1676144e-004
1.3284999e+000  1.5205667e-002  5.1742786e-004
1.3334999e+000  1.3167982e-002  5.1654829e-004
1.3384999e+000  1.4520605e-002  5.1711767e-004
1.3434999e+000  1.4449306e-002  5.1820365e-004
1.3484999e+000  1.4382560e-002  5.1869720e-004
1.3534999e+000  1.3906591e-002  5.1769591e-004
1.3584999e+000  1.4564378e-002  5.1796087e-004
1.3634999e+000  1.4460538e-002  5.1860651e-004
1.3684999e+000  1.4209118e-002  5.1651313e-004
1.3735000e+000  1.3964005e-002  5.1601703e-004
1.3785000e+000  1.4885001e-002  5.2101345e-004
1.3835000e+000  1.3860554e-002  5.1417679e-004
1.3885000e+000  1.3856391e-002  5.1831105e-004
1.3935000e+000  1.4941772e-002  5.2127673e-004
1.3985000e+000  1.3934157e-002  5.1788893e-004
1.4035000e+000  1.4084114e-002  5.1528221e-004
1.4085000e+000  1.3742016e-002  5.1505794e-004
1.4135000e+000  1.3974370e-002  5.1625993e-004
1.4184999e+000  1.3800892e-002  5.1726599e-004
1.4234999e+000  1.3040948e-002  5.2002835e-004
