#
# Draine & Li IR Dust Emission
# "small" silicate grains (a<250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda      lamIlamH     sigExt    
   0.4410   1.7171E-29   3.2036E-24
   0.4430   1.7625E-29   3.1863E-24
   0.4450   1.8089E-29   3.1692E-24
   0.4470   1.8563E-29   3.1522E-24
   0.4491   1.9047E-29   3.1354E-24
   0.4511   1.9541E-29   3.1186E-24
   0.4532   2.0046E-29   3.1020E-24
   0.4552   2.0561E-29   3.0855E-24
   0.4573   2.1087E-29   3.0691E-24
   0.4594   2.1623E-29   3.0529E-24
   0.4615   2.2170E-29   3.0368E-24
   0.4636   2.2729E-29   3.0207E-24
   0.4657   2.3299E-29   3.0048E-24
   0.4679   2.3880E-29   2.9891E-24
   0.4700   2.4473E-29   2.9734E-24
   0.4721   2.5077E-29   2.9578E-24
   0.4743   2.5694E-29   2.9424E-24
   0.4765   2.6323E-29   2.9270E-24
   0.4786   2.6964E-29   2.9118E-24
   0.4808   2.7617E-29   2.8967E-24
   0.4830   2.8283E-29   2.8816E-24
   0.4852   2.8962E-29   2.8667E-24
   0.4874   2.9653E-29   2.8519E-24
   0.4897   3.0357E-29   2.8371E-24
   0.4919   3.1074E-29   2.8224E-24
   0.4941   3.1805E-29   2.8078E-24
   0.4964   3.2550E-29   2.7934E-24
   0.4987   3.3308E-29   2.7790E-24
   0.5009   3.4081E-29   2.7647E-24
   0.5032   3.4867E-29   2.7506E-24
   0.5055   3.5669E-29   2.7365E-24
   0.5078   3.6484E-29   2.7226E-24
   0.5101   3.7314E-29   2.7087E-24
   0.5125   3.8160E-29   2.6949E-24
   0.5148   3.9020E-29   2.6813E-24
   0.5172   3.9895E-29   2.6677E-24
   0.5195   4.0786E-29   2.6542E-24
   0.5219   4.1693E-29   2.6408E-24
   0.5243   4.2615E-29   2.6275E-24
   0.5267   4.3554E-29   2.6143E-24
   0.5291   4.4508E-29   2.6011E-24
   0.5315   4.5479E-29   2.5881E-24
   0.5339   4.6466E-29   2.5751E-24
   0.5363   4.7471E-29   2.5622E-24
   0.5388   4.8491E-29   2.5495E-24
   0.5413   4.9529E-29   2.5368E-24
   0.5437   5.0585E-29   2.5241E-24
   0.5462   5.1657E-29   2.5116E-24
   0.5487   5.2747E-29   2.4991E-24
   0.5512   5.3855E-29   2.4868E-24
   0.5537   5.4982E-29   2.4745E-24
   0.5563   5.6126E-29   2.4623E-24
   0.5588   5.7288E-29   2.4502E-24
   0.5613   5.8470E-29   2.4381E-24
   0.5639   5.9669E-29   2.4261E-24
   0.5665   6.0888E-29   2.4142E-24
   0.5691   6.2126E-29   2.4024E-24
   0.5717   6.3383E-29   2.3907E-24
   0.5743   6.4659E-29   2.3790E-24
