#
# Olivine Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Olivine GDS70a
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_GDS70.a_Fo89_165um_BECKb_AREF.html
#
# wavelength is in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
1.2285000e+000  1.3133962e-001  8.3299947e-004
1.2335000e+000  1.3258223e-001  8.4118819e-004
1.2385000e+000  1.3370027e-001  6.5954699e-004
1.2435000e+000  1.3357872e-001  6.4893620e-004
1.2485000e+000  1.3572773e-001  5.4959295e-004
1.2535000e+000  1.3642035e-001  9.2057092e-004
1.2585000e+000  1.3853826e-001  7.7082345e-004
1.2635000e+000  1.3981420e-001  1.0369549e-003
1.2685000e+000  1.4175741e-001  7.4753060e-004
1.2735001e+000  1.4289489e-001  7.5263937e-004
1.2785001e+000  1.4609252e-001  7.4534706e-004
1.2835001e+000  1.4677660e-001  7.8444579e-004
1.2885001e+000  1.4916137e-001  6.4579467e-004
1.2935001e+000  1.5154572e-001  6.4137310e-004
1.2985001e+000  1.5462925e-001  7.6875230e-004
1.3034999e+000  1.5596898e-001  6.1941351e-004
1.3084999e+000  1.5926680e-001  7.3056191e-004
1.3134999e+000  1.6049592e-001  7.1651739e-004
1.3184999e+000  1.6335802e-001  7.4210664e-004
1.3234999e+000  1.6608600e-001  7.4155000e-004
1.3284999e+000  1.6925910e-001  7.5810170e-004
1.3334999e+000  1.7327721e-001  5.7174370e-004
1.3384999e+000  1.7623769e-001  6.1540882e-004
1.3434999e+000  1.7937437e-001  8.7266247e-004
1.3484999e+000  1.8233660e-001  7.7289453e-004
1.3534999e+000  1.8732697e-001  7.7006355e-004
1.3584999e+000  1.9111362e-001  7.5724314e-004
1.3634999e+000  1.9617878e-001  1.4912792e-003
1.3684999e+000  1.9889265e-001  9.3696965e-004
1.3735000e+000  2.0368312e-001  9.1924187e-004
1.3785000e+000  2.0685653e-001  1.0456349e-003
1.3835000e+000  2.1118702e-001  1.0372759e-003
1.3885000e+000  2.1678446e-001  1.0086953e-003
1.3935000e+000  2.2164288e-001  9.0804521e-004
1.3985000e+000  2.2581081e-001  9.9650887e-004
1.4035000e+000  2.3239823e-001  9.3968102e-004
1.4085000e+000  2.3769504e-001  7.8608899e-004
1.4135000e+000  2.4287105e-001  7.3467148e-004
1.4184999e+000  2.4979545e-001  9.9613541e-004
1.4234999e+000  2.5648534e-001  7.8789907e-004
1.4284999e+000  2.6191273e-001  6.4551481e-004
1.4334999e+000  2.6687655e-001  9.0571668e-004
1.4384999e+000  2.7358791e-001  8.4592996e-004
1.4434999e+000  2.8078949e-001  9.5946528e-004
1.4484999e+000  2.8728852e-001  1.0320190e-003
1.4534999e+000  2.9320735e-001  8.8408065e-004
1.4584999e+000  2.9884881e-001  8.9857104e-004
1.4634999e+000  3.0612800e-001  1.1823493e-003
1.4684999e+000  3.1392434e-001  9.4532920e-004
1.4735000e+000  3.2025960e-001  8.4801600e-004
1.4785000e+000  3.2778999e-001  1.0259233e-003
1.4835000e+000  3.3296236e-001  1.0518659e-003
1.4885000e+000  3.4248522e-001  7.2578009e-004
1.4935000e+000  3.5159916e-001  8.8129455e-004
1.4985000e+000  3.5725006e-001  1.2269862e-003
1.5035000e+000  3.6339405e-001  8.5671403e-004
1.5085000e+000  3.7029409e-001  1.1601290e-003
1.5135000e+000  3.7938699e-001  1.1259026e-003
1.5185000e+000  3.8649431e-001  7.9266465e-004
1.5235000e+000  3.9495400e-001  9.2814473e-004
1.5285000e+000  4.0234625e-001  1.0087189e-003
1.5339999e+000  4.1242528e-001  1.6687039e-003
1.5400000e+000  4.1958219e-001  8.1047427e-004
1.5460000e+000  4.2835611e-001  8.8454981e-004
1.5519999e+000  4.3785447e-001  9.6311129e-004
1.5580000e+000  4.4586527e-001  9.5899811e-004
1.5639999e+000  4.5503715e-001  8.7358040e-004
1.5705000e+000  4.6464285e-001  6.9802348e-004
1.5775000e+000  4.7382361e-001  8.6800143e-004
1.5845000e+000  4.8451003e-001  9.0971217e-004
1.5915000e+000  4.9538815e-001  7.7183923e-004
1.5985000e+000  5.0245565e-001  1.0162516e-003
1.6055000e+000  5.1016510e-001  7.1398204e-004
1.6125000e+000  5.1783514e-001  8.1622793e-004
1.6194999e+000  5.2659142e-001  7.8074500e-004
1.6265000e+000  5.3400749e-001  1.7769111e-003
1.6335000e+000  5.4166055e-001  1.1028736e-003
1.6404999e+000  5.4892683e-001  1.0311771e-003
1.6474999e+000  5.5550611e-001  9.8450831e-004
1.6544999e+000  5.6390458e-001  1.0948811e-003
1.6615000e+000  5.6667668e-001  9.5862965e-004
1.6684999e+000  5.7318228e-001  8.8503689e-004
1.6760001e+000  5.7800347e-001  1.0122493e-003
1.6840000e+000  5.8354408e-001  1.2396128e-003
1.6920000e+000  5.9159803e-001  1.9175056e-003
1.7000000e+000  5.9409136e-001  1.3322324e-003
1.7080001e+000  5.9815919e-001  1.1392825e-003
1.7160001e+000  6.0214078e-001  1.1303177e-003
1.7240000e+000  6.0708636e-001  8.8575023e-004
1.7320000e+000  6.0874057e-001  1.4408584e-003
1.7400000e+000  6.1310226e-001  1.8161065e-003
1.7480000e+000  6.1547351e-001  1.6095706e-003
1.7560000e+000  6.1776203e-001  1.3456764e-003
1.7639999e+000  6.1900985e-001  1.2833138e-003
1.7720001e+000  6.1890262e-001  1.4785014e-003
1.7800001e+000  6.2085682e-001  1.1857568e-003
1.7880001e+000  6.2530559e-001  1.2512601e-003
1.7960001e+000  6.2510544e-001  1.4818046e-003
1.8049999e+000  6.2585914e-001  1.0000459e-003
1.8149999e+000  6.2605256e-001  9.6701115e-004
1.8249999e+000  6.2971830e-001  1.0142826e-003
1.8349999e+000  6.2784219e-001  8.5257023e-004
1.8449999e+000  6.2911099e-001  1.2169699e-003
1.8549999e+000  6.2676549e-001  1.3208466e-003
1.8649999e+000  6.3143939e-001  1.2249126e-003
1.8750000e+000  6.3162065e-001  9.8355359e-004
1.8850000e+000  6.2871331e-001  1.1930773e-003
1.8950000e+000  6.2992495e-001  1.2862280e-003
1.9050000e+000  6.2884551e-001  1.2289530e-003
1.9150000e+000  6.2908953e-001  1.5737271e-003
1.9250000e+000  6.3040704e-001  1.2396344e-003
1.9349999e+000  6.3025624e-001  1.3621586e-003
1.9449999e+000  6.3081074e-001  1.2811839e-003
1.9549999e+000  6.2891346e-001  1.2936573e-003
1.9649999e+000  6.3334376e-001  1.5085965e-003
1.9750000e+000  6.3174140e-001  1.4151514e-003
1.9850000e+000  6.3589203e-001  1.3665073e-003
1.9950000e+000  6.3224965e-001  1.1868164e-003
2.0050001e+000  6.3442820e-001  1.5753234e-003
2.0150001e+000  6.3474554e-001  1.3018518e-003
2.0250001e+000  6.3991141e-001  1.3043785e-003
2.0350001e+000  6.3516313e-001  1.8982374e-003
2.0450001e+000  6.3741362e-001  1.5780121e-003
2.0550001e+000  6.3953304e-001  1.9603872e-003
2.0650001e+000  6.3733375e-001  1.9336796e-003
2.0750000e+000  6.4141244e-001  1.9628936e-003
2.0850000e+000  6.4183521e-001  1.8483748e-003
2.0950000e+000  6.4133114e-001  1.6528518e-003
2.1050000e+000  6.4359075e-001  1.7790030e-003
2.1150000e+000  6.4396018e-001  1.9441569e-003
2.1250000e+000  6.4702272e-001  1.9172530e-003
2.1350000e+000  6.4547837e-001  1.9852612e-003
2.1450000e+000  6.4504737e-001  1.8722127e-003
2.1550000e+000  6.4161772e-001  1.6695757e-003
2.1650000e+000  6.4461386e-001  1.5968040e-003
2.1750000e+000  6.4039075e-001  1.3322859e-003
2.1849999e+000  6.4472091e-001  1.8431138e-003
2.1949999e+000  6.3973153e-001  1.9842400e-003
2.2050002e+000  6.3942093e-001  1.9788821e-003
2.2150002e+000  6.4357978e-001  2.0106609e-003
2.2250001e+000  6.4216310e-001  1.9969917e-003
2.2350001e+000  6.4056897e-001  1.9974555e-003
2.2450001e+000  6.4129400e-001  2.0084106e-003
2.2550001e+000  6.4179248e-001  2.0141341e-003
2.2650001e+000  6.4485162e-001  2.0160668e-003
2.2750001e+000  6.4113533e-001  2.0120700e-003
2.2850001e+000  6.4090067e-001  2.0187697e-003
2.2950001e+000  6.4426148e-001  2.4690770e-003
2.3050001e+000  6.4206910e-001  2.3127990e-003
2.3150001e+000  6.4534545e-001  2.0158060e-003
2.3250000e+000  6.4860600e-001  1.9954150e-003
2.3350000e+000  6.4973021e-001  1.9796358e-003
2.3450000e+000  6.4935666e-001  1.5575364e-003
2.3550000e+000  6.5471816e-001  1.9635272e-003
2.3650000e+000  6.5391201e-001  1.8985629e-003
2.3750000e+000  6.5060264e-001  1.9810775e-003
2.3859999e+000  6.5052384e-001  1.3623269e-003
2.4000001e+000  6.5032822e-001  1.1942632e-003
2.4180000e+000  6.5359151e-001  1.0241955e-003
2.4400001e+000  6.5532923e-001  1.4333859e-003
2.4660001e+000  6.5381086e-001  1.1047949e-003
2.4960001e+000  6.5638334e-001  1.1975595e-003
2.5279999e+000  6.5717435e-001  1.0921649e-003
2.5599999e+000  6.5587962e-001  1.5411028e-003
2.5920000e+000  6.5243936e-001  1.9020588e-003
2.6239998e+000  6.5273929e-001  1.8884256e-003
2.6559999e+000  6.5225846e-001  1.8514962e-003
2.6879997e+000  6.4041680e-001  2.6973647e-003
