#
# Draine & Li IR Dust Emission
# "small" graphitic/PAH grains (a<250A)
#
# lambda - wavelength in microns
# PAHs - PAH IR emission per H column (erg s^-1 H^-1)
# sigPAHs - PAH exinction cross section
# smGra - small graphitic grain IR emission per H column (erg s^-1 H^-1)
# sigGra - small graphitic grain exinction cross section
# 
lambda      PAHs         sigPAHs      smGra        sigGra    
   0.1626   2.6037E-36   2.3479E-22   4.0412E-39   2.8846E-23
   0.1634   3.0679E-36   2.3587E-22   4.7617E-39   2.9124E-23
   0.1641   3.6138E-36   2.3707E-22   5.6089E-39   2.9419E-23
   0.1649   4.2554E-36   2.3838E-22   6.6047E-39   2.9732E-23
   0.1656   5.0094E-36   2.3981E-22   7.7750E-39   3.0063E-23
   0.1664   5.8952E-36   2.4135E-22   9.1498E-39   3.0416E-23
   0.1671   6.9357E-36   2.4302E-22   1.0765E-38   3.0788E-23
   0.1679   8.1576E-36   2.4482E-22   1.2661E-38   3.1180E-23
   0.1687   9.5920E-36   2.4675E-22   1.4887E-38   3.1590E-23
   0.1694   1.1276E-35   2.4881E-22   1.7500E-38   3.2021E-23
   0.1702   1.3251E-35   2.5099E-22   2.0566E-38   3.2465E-23
   0.1710   1.5566E-35   2.5327E-22   2.4159E-38   3.2915E-23
   0.1718   1.8279E-35   2.5567E-22   2.8369E-38   3.3388E-23
   0.1726   2.1457E-35   2.5819E-22   3.3301E-38   3.3883E-23
   0.1733   2.5180E-35   2.6084E-22   3.9079E-38   3.4402E-23
   0.1741   2.9539E-35   2.6363E-22   4.5844E-38   3.4945E-23
   0.1749   3.4643E-35   2.6655E-22   5.3764E-38   3.5512E-23
   0.1757   4.0617E-35   2.6963E-22   6.3035E-38   3.6105E-23
   0.1765   4.7609E-35   2.7287E-22   7.3885E-38   3.6725E-23
   0.1773   5.5791E-35   2.7628E-22   8.6582E-38   3.7371E-23
   0.1781   6.5364E-35   2.7986E-22   1.0144E-37   3.8046E-23
   0.1790   7.6564E-35   2.8363E-22   1.1882E-37   3.8751E-23
   0.1798   8.9667E-35   2.8759E-22   1.3915E-37   3.9487E-23
   0.1806   1.0499E-34   2.9177E-22   1.6294E-37   4.0261E-23
   0.1814   1.2292E-34   2.9617E-22   1.9076E-37   4.1070E-23
   0.1822   1.4389E-34   3.0080E-22   2.2330E-37   4.1917E-23
   0.1831   1.6842E-34   3.0567E-22   2.6136E-37   4.2802E-23
   0.1839   1.9711E-34   3.1080E-22   3.0588E-37   4.3728E-23
   0.1848   2.3066E-34   3.1619E-22   3.5794E-37   4.4697E-23
   0.1856   2.6991E-34   3.2188E-22   4.1883E-37   4.5709E-23
   0.1864   3.1581E-34   3.2786E-22   4.9006E-37   4.6769E-23
   0.1873   3.6949E-34   3.3415E-22   5.7335E-37   4.7877E-23
   0.1881   4.3228E-34   3.4077E-22   6.7078E-37   4.9036E-23
   0.1890   5.0572E-34   3.4773E-22   7.8472E-37   5.0249E-23
   0.1899   5.9160E-34   3.5504E-22   9.1797E-37   5.1517E-23
   0.1907   6.9203E-34   3.6272E-22   1.0738E-36   5.2837E-23
   0.1916   8.0945E-34   3.7076E-22   1.2560E-36   5.4210E-23
   0.1925   9.4673E-34   3.7920E-22   1.4690E-36   5.5636E-23
   0.1934   1.1072E-33   3.8803E-22   1.7179E-36   5.7115E-23
   0.1942   1.2947E-33   3.9726E-22   2.0088E-36   5.8648E-23
   0.1951   1.5137E-33   4.0689E-22   2.3486E-36   6.0233E-23
   0.1960   1.7695E-33   4.1693E-22   2.7453E-36   6.1870E-23
   0.1969   2.0679E-33   4.2736E-22   3.2083E-36   6.3555E-23
   0.1978   2.4159E-33   4.3817E-22   3.7482E-36   6.5285E-23
   0.1987   2.8215E-33   4.4936E-22   4.3774E-36   6.7057E-23
   0.1996   3.2937E-33   4.6088E-22   5.1098E-36   6.8866E-23
   0.2005   3.8427E-33   4.7270E-22   5.9615E-36   7.0695E-23
   0.2015   4.4803E-33   4.8478E-22   6.9505E-36   7.2539E-23
   0.2024   5.2197E-33   4.9706E-22   8.0974E-36   7.4396E-23
   0.2033   6.0755E-33   5.0947E-22   9.4249E-36   7.6257E-23
   0.2042   7.0642E-33   5.2194E-22   1.0958E-35   7.8111E-23
   0.2052   8.2039E-33   5.3435E-22   1.2726E-35   7.9945E-23
   0.2061   9.5142E-33   5.4661E-22   1.4758E-35   8.1747E-23
   0.2070   1.1017E-32   5.5859E-22   1.7089E-35   8.3501E-23
   0.2080   1.2734E-32   5.7015E-22   1.9752E-35   8.5193E-23
   0.2089   1.4691E-32   5.8115E-22   2.2787E-35   8.6806E-23
   0.2099   1.6912E-32   5.9143E-22   2.6232E-35   8.8324E-23
   0.2108   1.9425E-32   6.0086E-22   3.0128E-35   8.9767E-23
   0.2118   2.2255E-32   6.0926E-22   3.4517E-35   9.1089E-23
   0.2128   2.5430E-32   6.1648E-22   3.9441E-35   9.2268E-23
   0.2137   2.8976E-32   6.2239E-22   4.4940E-35   9.3287E-23
   0.2147   3.2920E-32   6.2685E-22   5.1055E-35   9.4133E-23
   0.2157   3.7287E-32   6.2976E-22   5.7825E-35   9.4770E-23
   0.2167   4.2102E-32   6.3105E-22   6.5290E-35   9.5179E-23
   0.2177   4.7388E-32   6.3067E-22   7.3486E-35   9.5325E-23
   0.2187   5.3169E-32   6.2858E-22   8.2448E-35   9.5068E-23
   0.2197   5.9468E-32   6.2487E-22   9.2214E-35   9.4527E-23
   0.2207   6.6310E-32   6.1964E-22   1.0282E-34   9.3743E-23
   0.2217   7.3718E-32   6.1296E-22   1.1430E-34   9.2716E-23
   0.2227   8.1721E-32   6.0497E-22   1.2671E-34   9.1464E-23
   0.2237   9.0346E-32   5.9584E-22   1.4008E-34   9.0086E-23
   0.2247   9.9628E-32   5.8571E-22   1.5446E-34   8.8602E-23
   0.2257   1.0960E-31   5.7476E-22   1.6992E-34   8.7051E-23
   0.2268   1.2031E-31   5.6312E-22   1.8652E-34   8.5462E-23
   0.2278   1.3180E-31   5.5095E-22   2.0433E-34   8.3799E-23
   0.2289   1.4413E-31   5.3837E-22   2.2343E-34   8.2078E-23
   0.2299   1.5736E-31   5.2553E-22   2.4393E-34   8.0315E-23
   0.2309   1.7156E-31   5.1252E-22   2.6592E-34   7.8463E-23
   0.2320   1.8679E-31   4.9946E-22   2.8953E-34   7.6557E-23
   0.2331   2.0316E-31   4.8647E-22   3.1489E-34   7.4619E-23
   0.2341   2.2076E-31   4.7361E-22   3.4215E-34   7.2660E-23
   0.2352   2.3969E-31   4.6097E-22   3.7147E-34   7.0679E-23
   0.2363   2.6007E-31   4.4860E-22   4.0304E-34   6.8701E-23
   0.2373   2.8202E-31   4.3654E-22   4.3704E-34   6.6741E-23
   0.2384   3.0569E-31   4.2484E-22   4.7371E-34   6.4809E-23
   0.2395   3.3124E-31   4.1354E-22   5.1327E-34   6.2914E-23
   0.2406   3.5882E-31   4.0264E-22   5.5598E-34   6.1075E-23
   0.2417   3.8862E-31   3.9217E-22   6.0213E-34   5.9307E-23
   0.2428   4.2083E-31   3.8212E-22   6.5201E-34   5.7630E-23
   0.2439   4.5568E-31   3.7249E-22   7.0597E-34   5.6038E-23
   0.2450   4.9339E-31   3.6329E-22   7.6436E-34   5.4527E-23
   0.2462   5.3422E-31   3.5449E-22   8.2756E-34   5.3094E-23
   0.2473   5.7843E-31   3.4609E-22   8.9601E-34   5.1733E-23
   0.2484   6.2633E-31   3.3808E-22   9.7015E-34   5.0441E-23
   0.2495   6.7823E-31   3.3044E-22   1.0505E-33   4.9213E-23
   0.2507   7.3447E-31   3.2314E-22   1.1375E-33   4.8035E-23
   0.2518   7.9545E-31   3.1619E-22   1.2319E-33   4.6911E-23
   0.2530   8.6155E-31   3.0957E-22   1.3342E-33   4.5845E-23
   0.2541   9.3322E-31   3.0325E-22   1.4451E-33   4.4832E-23
   0.2553   1.0109E-30   2.9724E-22   1.5654E-33   4.3868E-23
   0.2565   1.0952E-30   2.9151E-22   1.6958E-33   4.2950E-23
   0.2576   1.1866E-30   2.8604E-22   1.8371E-33   4.2073E-23
   0.2588   1.2857E-30   2.8082E-22   1.9904E-33   4.1213E-23
   0.2600   1.3931E-30   2.7583E-22   2.1566E-33   4.0370E-23
   0.2612   1.5096E-30   2.7107E-22   2.3368E-33   3.9574E-23
   0.2624   1.6360E-30   2.6654E-22   2.5322E-33   3.8818E-23
   0.2636   1.7729E-30   2.6221E-22   2.7440E-33   3.8100E-23
   0.2648   1.9213E-30   2.5807E-22   2.9735E-33   3.7414E-23
   0.2660   2.0822E-30   2.5412E-22   3.2223E-33   3.6760E-23
   0.2672   2.2566E-30   2.5034E-22   3.4919E-33   3.6132E-23
   0.2684   2.4455E-30   2.4673E-22   3.7840E-33   3.5529E-23
   0.2696   2.6502E-30   2.4327E-22   4.1004E-33   3.4948E-23
   0.2709   2.8720E-30   2.3996E-22   4.4432E-33   3.4387E-23
   0.2721   3.1121E-30   2.3679E-22   4.8143E-33   3.3845E-23
   0.2733   3.3721E-30   2.3375E-22   5.2162E-33   3.3319E-23
   0.2746   3.6537E-30   2.3084E-22   5.6512E-33   3.2819E-23
   0.2758   3.9584E-30   2.2805E-22   6.1221E-33   3.2347E-23
   0.2771   4.2882E-30   2.2537E-22   6.6316E-33   3.1887E-23
   0.2784   4.6450E-30   2.2280E-22   7.1828E-33   3.1441E-23
   0.2796   5.0310E-30   2.2033E-22   7.7790E-33   3.1005E-23
   0.2809   5.4484E-30   2.1795E-22   8.4237E-33   3.0580E-23
   0.2822   5.8997E-30   2.1567E-22   9.1207E-33   3.0163E-23
   0.2835   6.3876E-30   2.1347E-22   9.8740E-33   2.9755E-23
   0.2848   6.9148E-30   2.1134E-22   1.0688E-32   2.9353E-23
   0.2861   7.4845E-30   2.0931E-22   1.1568E-32   2.8979E-23
   0.2874   8.0998E-30   2.0734E-22   1.2517E-32   2.8616E-23
   0.2887   8.7643E-30   2.0545E-22   1.3543E-32   2.8260E-23
   0.2900   9.4816E-30   2.0362E-22   1.4650E-32   2.7911E-23
   0.2913   1.0256E-29   2.0186E-22   1.5845E-32   2.7569E-23
   0.2927   1.1091E-29   2.0015E-22   1.7134E-32   2.7231E-23
   0.2940   1.1993E-29   1.9850E-22   1.8524E-32   2.6899E-23
   0.2953   1.2965E-29   1.9691E-22   2.0024E-32   2.6572E-23
   0.2967   1.4013E-29   1.9536E-22   2.1640E-32   2.6252E-23
   0.2980   1.5142E-29   1.9387E-22   2.3382E-32   2.5938E-23
   0.2994   1.6359E-29   1.9242E-22   2.5259E-32   2.5631E-23
   0.3008   1.7670E-29   1.9102E-22   2.7280E-32   2.5329E-23
   0.3021   1.9082E-29   1.8967E-22   2.9457E-32   2.5033E-23
   0.3035   2.0240E-29   1.8786E-22   3.1238E-32   2.4732E-23
   0.3049   2.1732E-29   1.8580E-22   3.3537E-32   2.4418E-23
   0.3063   2.3322E-29   1.8375E-22   3.5987E-32   2.4109E-23
   0.3077   2.5016E-29   1.8172E-22   3.8596E-32   2.3804E-23
   0.3091   2.6819E-29   1.7970E-22   4.1372E-32   2.3505E-23
   0.3105   2.8736E-29   1.7769E-22   4.4324E-32   2.3209E-23
   0.3119   3.0773E-29   1.7570E-22   4.7460E-32   2.2919E-23
   0.3134   3.2937E-29   1.7372E-22   5.0790E-32   2.2632E-23
   0.3148   3.5232E-29   1.7175E-22   5.4323E-32   2.2351E-23
   0.3162   3.7666E-29   1.6980E-22   5.8068E-32   2.2074E-23
   0.3177   4.0244E-29   1.6786E-22   6.2033E-32   2.1801E-23
   0.3191   4.2972E-29   1.6594E-22   6.6229E-32   2.1533E-23
   0.3206   4.5856E-29   1.6403E-22   7.0663E-32   2.1269E-23
   0.3220   4.8901E-29   1.6213E-22   7.5344E-32   2.1009E-23
   0.3235   5.2113E-29   1.6024E-22   8.0279E-32   2.0754E-23
   0.3250   5.5495E-29   1.5837E-22   8.5477E-32   2.0503E-23
