#
# Draine & Li IR Dust Emission
# "big" silicate grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.2861    1.00000E-90    5.30469E-22
   0.2874    1.00000E-90    5.29003E-22
   0.2887    1.00000E-90    5.27549E-22
   0.2900    1.00000E-90    5.26116E-22
   0.2913    1.00000E-90    5.24697E-22
   0.2927    1.00000E-90    5.23290E-22
   0.2940    1.00000E-90    5.21874E-22
   0.2953    1.00000E-90    5.20451E-22
   0.2967    1.00000E-90    5.19032E-22
   0.2980    1.00000E-90    5.17625E-22
   0.2994    1.00000E-90    5.16228E-22
   0.3008    1.00000E-90    5.14827E-22
   0.3021    1.00000E-90    5.13416E-22
   0.3035    1.00000E-90    5.11995E-22
   0.3049    1.00000E-90    5.10573E-22
   0.3063    1.00000E-90    5.09158E-22
   0.3077    1.00000E-90    5.07748E-22
   0.3091    1.00000E-90    5.06335E-22
   0.3105    1.00000E-90    5.04910E-22
   0.3119    1.00000E-90    5.03472E-22
   0.3134    1.00000E-90    5.02029E-22
   0.3148    1.00000E-90    5.00588E-22
   0.3162    1.00000E-90    4.99148E-22
   0.3177    1.00000E-90    4.97704E-22
   0.3191    1.00000E-90    4.96252E-22
   0.3206    1.00000E-90    4.94788E-22
   0.3220    1.00000E-90    4.93317E-22
   0.3235    1.00000E-90    4.91843E-22
   0.3250    1.00000E-90    4.90367E-22
   0.3265    1.00000E-90    4.88887E-22
   0.3280    1.00000E-90    4.87404E-22
   0.3295    1.00000E-90    4.85911E-22
   0.3310    1.00000E-90    4.84409E-22
   0.3325    1.00000E-90    4.82902E-22
   0.3340    1.00000E-90    4.81391E-22
   0.3355    1.00000E-90    4.79875E-22
   0.3370    1.00000E-90    4.78350E-22
   0.3386    1.00000E-90    4.76816E-22
   0.3401    1.00000E-90    4.75272E-22
   0.3417    1.00000E-90    4.73721E-22
   0.3432    1.00000E-90    4.72163E-22
   0.3448    1.00000E-90    4.70600E-22
   0.3464    1.00000E-90    4.69029E-22
   0.3480    1.00000E-90    4.67447E-22
